,EFAV,iShares MSCI Emerg Mkts Min Vol Fctr ETF,FGXXX,URC.V,URC.V.1,URC.V.2,URC.V.3,EEMV,First American Government Obligs X,Cboe S&P Put Opt 7/21 4165,Cboe S&P Put Opt 7/21 4190,Cboe S&P Put Opt 7/21 4320,Cboe S&P Put Opt 7/21 4290,Cboe S&P Put Opt 7/21 4200,Cboe S&P Put Opt 7/21 4330,Cboe S&P Put Opt 7/21 4205,Cboe S&P Put Opt 7/21 4335,S&P Dow Opt07/214180.0 Put,Cboe S&P Put Opt 7/21 4310,SPXW 6 P4020,SPXW 6 P4030,SPXW 6 P4160,SPXW 6 P4150,Cboe S&P Put Opt 7/21 4270,Cboe S&P Put Opt 7/21 4180,S&P Dow Opt08/214230.0 Put,S&P Dow Opt08/214360.0 Put,S&P Dow Opt08/214235.0 Put,S&P Dow Opt08/214365.0 Put,Cboe S&P Put Opt 8/21 4190,S&P Dow Opt08/214205.0 Put,Cboe S&P Put Opt 8/21 4210,Cboe S&P Put Opt 8/21 4340,S&P Dow Opt08/214335.0 Put,Cboe S&P Put Opt 8/21 4320,SUM
07/09/2021,79.78,20.17,0.08,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,78.9,0.0,0.0,0.0,0.0,0.0,0.0,19.23,1.9,0.01,0.0,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,78.9,0.0,0.0,0.0,0.0,0.0,0.0,19.23,1.9,0.01,0.0,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,80.57,0.0,0.0,0.0,0.0,0.0,0.0,19.53,0.04,0.02,0.0,-0.07,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,80.52,0.0,0.0,0.0,0.0,0.0,0.0,19.46,0.04,0.0,0.0,0.0,0.0,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,80.52,0.0,0.0,0.0,0.0,0.0,0.0,19.46,0.04,0.0,0.0,0.0,0.0,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,80.5,0.0,0.0,0.0,0.0,0.0,0.0,19.52,0.04,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/20/2021,80.47,0.0,0.0,0.0,0.0,0.0,0.0,19.66,0.05,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,-0.1,0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,80.62,0.0,0.0,0.0,0.0,0.0,0.0,19.63,0.05,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,-0.18,0.03,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,80.62,0.0,0.0,0.0,0.0,0.0,0.0,19.63,0.05,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,-0.18,0.03,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
