,JNK,HYG,PIMCO 0-5 Year High Yield Corp Bd ETF,Us Dollars,HYS,SPDR® Blmbg Barclays High Yield Bd ETF,n/a,ANGL,HYLB,SJNK,USHY,SUM
07/09/2021,33.09,33.02,32.94,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,33.03,32.93,32.83,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,33.03,32.93,32.83,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,33.03,32.93,32.83,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,33.03,32.93,32.83,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,33.03,32.91,32.85,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,33.04,32.93,32.82,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,33.01,32.91,32.79,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,33.01,32.91,32.79,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,33.01,32.91,32.79,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,32.98,32.89,32.83,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,16.68,16.67,16.59,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,16.68,16.67,16.59,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,16.68,16.67,16.59,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,32.95,0.0,1.15,32.98,32.92,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,32.95,0.0,1.15,32.96,32.94,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,32.9,32.95,32.89,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,32.9,32.95,32.89,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,32.9,32.95,32.89,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
