,GNW,MCY,ANAT,AR,AEL,INT,BTU,FHI,FYBR,UMPQ,UFS,APAM,RILY,CWH,VGR,MDP,IDA,HE,RDN,AJRD,VIRT,FBC,TGNA,ASB,APR,TMHC,COWN,CMC,ABM,QDEL,NSIT,HI,PSN,SANM,HCSG,GTN,SYKE,BCC,VSH,NUS,RUSHA,CRUS,SWBI,TPH,TNET,WTM,GVA,NWLI,HBT,SSTK,AMCX,CNNE,EVC,KTB,MLHR,HNI,CNO,AAWW,XPER,TEX,KELYA,CSGS,HTH,STC,SWM,VCTR,SAFT,WWW,PBH,TTMI,INVA,BSIG,STMP,REGI,MD,ICUI,EBS,MODV,TG,NHC,GBX,NTCT,GIII,MLI,ARCB,MEI,FIX,PRGS,APOG,PRIM,VRNT,LRN,PLXS,BHE,VHI,MTX,HZO,NUVA,LZB,SCSC,CEIX,CCAP,OPY,SCVL,DY,MMSI,EXLS,TBIO,ZUMZ,KFRC,STFC,YELP,MYGN,IDCC,DGICA,BRY,TBI,GLT,MYRG,BRBR,HBNC,SUPN,NMIH,PFC,EBF,CCS,SXC,AAN,FLGT,DSSI,DNOW,USNA,DHIL,CONN,HLX,MBIN,PAHC,CLW,ETH,CORT,JOAN,BPMC,GBL,ITIC,SPWH,FOSL,RGP,NEOG,CUBI,ASTE,TITN,WSBF,DFIN,HSTM,VIVO,USPH,QLYS,LMNX,CVEO,MOD,MSGN,MBWM,CVLT,HMHC,NVEC,PETS,KE,TVTY,FISI,VNDA,NX,NXGN,IBCP,INSW,EGRX,NTGR,PCRX,TIPT,AVIR,IRWD,HCKT,MLR,BVS,LMAT,CCNE,COLL,BGFV,RCUS,HAYN,MLAB,POWL,PFIS,ACNB,HSKA,SPFI,ATRI,ONEW,SCPL,NR,SAGE,ANGO,HIFS,AMPH,TRUE,NET CURRENT ASSETS USD,INGN,DGII,APEI,DTRXX,GPX,CIVB,FMNB,SMBC,Dreyfus Treasury Obligations Csh Mgt Ins,HMTV,PKBK,OSUR,NTUS,ATEN,SLYV,CPSI,OFIX,ETD,n/a,CHRS,LEU,XRX,HRB,TEN,DDS,CADE,GSKY,PFSI,ABCB,AXL,PDCE,MATX,VRS,WSFS,ATKR,ATGE,BZH,CNMD,HVT,RRR,RYAM,GDOT,HAFC,CATO,CPK,UVSP,THRY,MOV,TMST,HSII,ASIX,HMST,CTS,BBSI,STRL,XOG,IIIN,FORR,IEA,AVD,EXTR,IDT,MCBC,ANIP,MPB,VRA,CPRX,INBK,MLKN,ARAY,NATR,SIGA,AVID,UTMD,SUM
07/09/2021,0.77,0.73,0.73,0.73,0.73,0.71,0.65,0.65,0.64,0.63,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.83999999999999
07/12/2021,0.76,0.73,0.74,0.71,0.72,0.7,0.62,0.64,0.69,0.62,0.63,0.62,0.62,0.61,0.6,0.61,0.62,0.62,0.6,0.6,0.61,0.59,0.58,0.56,0.55,0.54,0.54,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.52,0.51,0.52,0.5,0.51,0.51,0.5,0.51,0.49,0.49,0.49,0.5,0.48,0.49,0.48,0.49,0.45,0.47,0.48,0.47,0.48,0.47,0.47,0.46,0.46,0.45,0.46,0.47,0.46,0.46,0.45,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.42,0.37,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.39,0.38,0.41,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.39,0.38,0.36,0.37,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.36,0.37,0.36,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.34,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.32,0.31,0.3,0.33,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.0,0.31,0.3,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.0,0.0,0.0,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.77000000000001
07/13/2021,0.76,0.73,0.74,0.71,0.72,0.7,0.62,0.64,0.69,0.62,0.63,0.62,0.62,0.61,0.6,0.61,0.62,0.62,0.6,0.6,0.61,0.59,0.58,0.56,0.55,0.54,0.54,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.52,0.51,0.52,0.5,0.51,0.51,0.5,0.51,0.49,0.49,0.49,0.5,0.48,0.49,0.48,0.49,0.45,0.47,0.48,0.47,0.48,0.47,0.47,0.46,0.46,0.45,0.46,0.47,0.46,0.46,0.45,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.42,0.37,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.39,0.38,0.41,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.39,0.38,0.36,0.37,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.36,0.37,0.36,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.34,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.32,0.31,0.3,0.33,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.0,0.31,0.3,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.0,0.0,0.0,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.77000000000001
07/14/2021,0.76,0.73,0.74,0.71,0.72,0.7,0.62,0.64,0.69,0.62,0.63,0.62,0.62,0.61,0.6,0.61,0.62,0.62,0.6,0.6,0.61,0.59,0.58,0.56,0.55,0.54,0.54,0.54,0.54,0.55,0.53,0.52,0.52,0.52,0.52,0.51,0.52,0.5,0.51,0.51,0.5,0.51,0.49,0.49,0.49,0.5,0.48,0.49,0.48,0.49,0.45,0.47,0.48,0.47,0.48,0.47,0.47,0.46,0.46,0.45,0.46,0.47,0.46,0.46,0.45,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.42,0.37,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.39,0.38,0.41,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.39,0.38,0.36,0.37,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.36,0.37,0.36,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.34,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.32,0.31,0.3,0.33,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.0,0.31,0.3,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.0,0.0,0.0,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.77000000000001
07/15/2021,0.73,0.71,0.74,0.76,0.72,0.69,0.85,0.63,0.69,0.63,0.62,0.62,0.58,0.63,0.6,0.61,0.62,0.61,0.6,0.59,0.59,0.6,0.58,0.57,0.56,0.52,0.53,0.56,0.53,0.53,0.53,0.54,0.53,0.52,0.51,0.49,0.51,0.52,0.5,0.5,0.52,0.51,0.47,0.48,0.49,0.48,0.48,0.48,0.46,0.49,0.44,0.45,0.45,0.48,0.46,0.47,0.47,0.46,0.45,0.47,0.45,0.46,0.46,0.46,0.45,0.46,0.44,0.45,0.44,0.43,0.43,0.44,0.7,0.45,0.43,0.43,0.41,0.42,0.42,0.43,0.44,0.43,0.42,0.42,0.44,0.41,0.42,0.41,0.41,0.42,0.41,0.38,0.41,0.4,0.4,0.41,0.4,0.39,0.39,0.39,0.42,0.4,0.35,0.39,0.38,0.39,0.4,0.39,0.38,0.38,0.39,0.38,0.41,0.38,0.38,0.37,0.37,0.39,0.38,0.37,0.36,0.35,0.36,0.36,0.36,0.35,0.37,0.35,0.37,0.36,0.37,0.37,0.37,0.36,0.34,0.37,0.32,0.37,0.35,0.35,0.37,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.35,0.33,0.34,0.34,0.34,0.34,0.33,0.35,0.34,0.35,0.36,0.0,0.33,0.34,0.33,0.34,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.31,0.34,0.32,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.32,0.31,0.31,0.3,0.3,0.0,0.3,0.3,0.3,0.29,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.36,0.3,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.94
07/16/2021,0.72,0.71,0.75,0.72,0.72,0.69,0.8,0.64,0.68,0.62,0.61,0.62,0.58,0.62,0.6,0.61,0.61,0.61,0.6,0.58,0.57,0.61,0.57,0.56,0.54,0.51,0.53,0.55,0.54,0.52,0.52,0.54,0.53,0.51,0.51,0.48,0.51,0.52,0.5,0.5,0.52,0.5,0.45,0.47,0.49,0.47,0.48,0.47,0.45,0.49,0.45,0.45,0.46,0.47,0.47,0.47,0.47,0.46,0.45,0.47,0.44,0.45,0.45,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.43,0.69,0.44,0.42,0.42,0.4,0.42,0.42,0.43,0.44,0.43,0.42,0.42,0.43,0.41,0.42,0.4,0.41,0.41,0.4,0.39,0.41,0.4,0.41,0.41,0.4,0.4,0.39,0.38,0.43,0.4,0.36,0.39,0.38,0.39,0.39,0.39,0.38,0.38,1.11,0.37,0.41,0.37,0.39,0.38,0.36,0.39,0.38,0.36,0.36,0.34,0.36,0.36,0.36,0.35,0.36,0.35,0.37,0.36,0.36,0.36,0.37,0.37,0.33,0.37,0.33,0.37,0.35,0.35,0.37,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.35,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.34,0.35,0.0,0.33,0.34,0.32,0.34,0.31,0.31,0.32,0.32,0.31,0.32,0.32,0.31,0.31,0.34,0.32,0.3,0.29,0.31,0.3,0.3,0.3,0.32,0.31,0.3,0.3,0.29,0.32,0.3,0.31,0.29,0.3,0.0,0.31,0.29,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.36,0.31,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.01
07/19/2021,0.72,0.71,0.77,0.72,0.73,0.7,0.81,0.64,0.69,0.63,0.63,0.62,0.57,0.61,0.6,0.63,0.65,0.63,0.61,0.6,0.57,0.62,0.57,0.57,0.55,0.5,0.52,0.55,0.59,0.51,0.52,0.53,0.52,0.52,0.51,0.48,0.52,0.48,0.5,0.49,0.53,0.5,0.42,0.46,0.51,0.48,0.47,0.48,0.48,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.47,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.45,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.71,0.45,0.41,0.41,0.41,0.42,0.43,0.45,0.45,0.44,0.4,0.42,0.44,0.4,0.41,0.4,0.4,0.42,0.4,0.4,0.41,0.39,0.42,0.42,0.41,0.39,0.38,0.38,0.43,0.4,0.36,0.38,0.37,0.38,0.41,0.4,0.34,0.39,1.14,0.36,0.39,0.36,0.4,0.35,0.37,0.38,0.38,0.38,0.37,0.33,0.36,0.37,0.36,0.34,0.36,0.32,0.33,0.36,0.35,0.36,0.37,0.35,0.3,0.37,0.31,0.37,0.35,0.33,0.39,0.34,0.34,0.34,0.35,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.34,0.35,0.0,0.33,0.33,0.0,0.36,0.34,0.0,0.34,0.33,0.33,0.35,0.3,0.31,0.31,0.33,0.31,0.33,0.32,0.32,0.29,0.34,0.32,0.3,0.32,0.3,0.31,0.31,0.3,0.31,0.0,0.31,0.31,0.0,0.32,0.31,0.31,0.0,0.31,0.29,0.3,0.31,0.3,0.31,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29,0.0,0.29,0.84,0.34,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52000000000001
07/20/2021,0.72,0.71,0.77,0.72,0.73,0.7,0.81,0.64,0.69,0.63,0.63,0.62,0.57,0.61,0.6,0.63,0.65,0.63,0.61,0.6,0.57,0.62,0.57,0.57,0.55,0.5,0.52,0.55,0.59,0.51,0.52,0.53,0.52,0.52,0.51,0.48,0.52,0.48,0.5,0.49,0.53,0.5,0.42,0.46,0.51,0.48,0.47,0.48,0.48,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.47,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.45,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.71,0.45,0.41,0.41,0.41,0.42,0.43,0.45,0.45,0.44,0.4,0.42,0.44,0.4,0.41,0.4,0.4,0.42,0.4,0.4,0.41,0.39,0.42,0.42,0.41,0.39,0.38,0.38,0.43,0.4,0.36,0.38,0.37,0.38,0.41,0.4,0.34,0.39,1.14,0.36,0.39,0.36,0.4,0.35,0.37,0.38,0.38,0.38,0.37,0.33,0.36,0.37,0.36,0.34,0.36,0.32,0.33,0.36,0.35,0.36,0.37,0.35,0.3,0.37,0.31,0.37,0.35,0.33,0.39,0.34,0.34,0.34,0.35,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.34,0.35,0.0,0.33,0.33,0.0,0.36,0.34,0.0,0.34,0.33,0.33,0.35,0.3,0.31,0.31,0.33,0.31,0.33,0.32,0.32,0.29,0.34,0.32,0.3,0.32,0.3,0.31,0.31,0.3,0.31,0.0,0.31,0.31,0.0,0.32,0.31,0.31,0.0,0.31,0.29,0.3,0.31,0.3,0.31,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29,0.0,0.29,0.84,0.34,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52000000000001
07/21/2021,0.72,0.71,0.77,0.72,0.73,0.7,0.81,0.64,0.69,0.63,0.63,0.62,0.57,0.61,0.6,0.63,0.65,0.63,0.61,0.6,0.57,0.62,0.57,0.57,0.55,0.5,0.52,0.55,0.59,0.51,0.52,0.53,0.52,0.52,0.51,0.48,0.52,0.48,0.5,0.49,0.53,0.5,0.42,0.46,0.51,0.48,0.47,0.48,0.48,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.47,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.45,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.71,0.45,0.41,0.41,0.41,0.42,0.43,0.45,0.45,0.44,0.4,0.42,0.44,0.4,0.41,0.4,0.4,0.42,0.4,0.4,0.41,0.39,0.42,0.42,0.41,0.39,0.38,0.38,0.43,0.4,0.36,0.38,0.37,0.38,0.41,0.4,0.34,0.39,1.14,0.36,0.39,0.36,0.4,0.35,0.37,0.38,0.38,0.38,0.37,0.33,0.36,0.37,0.36,0.34,0.36,0.32,0.33,0.36,0.35,0.36,0.37,0.35,0.3,0.37,0.31,0.37,0.35,0.33,0.39,0.34,0.34,0.34,0.35,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.34,0.35,0.0,0.33,0.33,0.0,0.36,0.34,0.0,0.34,0.33,0.33,0.35,0.3,0.31,0.31,0.33,0.31,0.33,0.32,0.32,0.29,0.34,0.32,0.3,0.32,0.3,0.31,0.31,0.3,0.31,0.0,0.31,0.31,0.0,0.32,0.31,0.31,0.0,0.31,0.29,0.3,0.31,0.3,0.31,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29,0.0,0.29,0.84,0.34,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52000000000001
07/22/2021,0.72,0.71,0.77,0.72,0.73,0.7,0.81,0.64,0.69,0.63,0.63,0.62,0.57,0.61,0.6,0.63,0.65,0.63,0.61,0.6,0.57,0.62,0.57,0.57,0.55,0.5,0.52,0.55,0.59,0.51,0.52,0.53,0.52,0.52,0.51,0.48,0.52,0.48,0.5,0.49,0.53,0.5,0.42,0.46,0.51,0.48,0.47,0.48,0.48,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.47,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.45,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.71,0.45,0.41,0.41,0.41,0.42,0.43,0.45,0.45,0.44,0.4,0.42,0.44,0.4,0.41,0.4,0.4,0.42,0.4,0.4,0.41,0.39,0.42,0.42,0.41,0.39,0.38,0.38,0.43,0.4,0.36,0.38,0.37,0.38,0.41,0.4,0.34,0.39,1.14,0.36,0.39,0.36,0.4,0.35,0.37,0.38,0.38,0.38,0.37,0.33,0.36,0.37,0.36,0.34,0.36,0.32,0.33,0.36,0.35,0.36,0.37,0.35,0.3,0.37,0.31,0.37,0.35,0.33,0.39,0.34,0.34,0.34,0.35,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.34,0.35,0.0,0.33,0.33,0.0,0.36,0.34,0.0,0.34,0.33,0.33,0.35,0.3,0.31,0.31,0.33,0.31,0.33,0.32,0.32,0.29,0.34,0.32,0.3,0.32,0.3,0.31,0.31,0.3,0.31,0.0,0.31,0.31,0.0,0.32,0.31,0.31,0.0,0.31,0.29,0.3,0.31,0.3,0.31,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29,0.0,0.29,0.84,0.34,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52000000000001
