,DASH,NFLX,SPOT,TTWO,EA,UBER,DHER,3690,LYFT,SNAP,RBLX,9626,ATVI,TKWY,PTON,036570,3659,1024,ZNGA,AMBA,TME,EMBRACB,UBI,DADA,9697,FUBO,IQ,YY,CDR,SKLZ,CD,n/a,251270,MOMO,MVIS,SUM
11/08/2021,7.16,6.77,6.34,5.26,4.99,4.88,4.77,4.73,4.61,4.53,4.07,3.73,3.64,2.91,2.8,2.67,2.6,2.38,2.23,2.13,2.07,1.85,1.71,1.48,1.41,1.22,0.98,0.97,0.92,0.85,0.8,0.73,0.7,0.68,0.45,100.02
11/09/2021,7.16,6.77,6.34,5.26,4.99,4.88,4.77,4.73,4.61,4.53,4.07,3.73,3.64,2.91,2.8,2.67,2.6,2.38,2.23,2.13,2.07,1.85,1.71,1.48,1.41,1.22,0.98,0.97,0.92,0.85,0.8,0.73,0.7,0.68,0.45,100.02
11/10/2021,7.16,6.77,6.34,5.26,4.99,4.88,4.77,4.73,4.61,4.53,4.07,3.73,3.64,2.91,2.8,2.67,2.6,2.38,2.23,2.13,2.07,1.85,1.71,1.48,1.41,1.22,0.98,0.97,0.92,0.85,0.8,0.73,0.7,0.68,0.45,100.02
11/11/2021,6.97,6.84,6.3,5.21,4.95,4.75,4.76,4.64,4.76,4.68,4.02,3.76,3.59,2.92,2.59,2.7,2.69,2.34,2.26,2.23,2.11,1.84,1.72,1.5,1.46,1.25,0.98,0.97,0.92,0.93,0.82,0.73,0.71,0.67,0.47,100.04
11/12/2021,6.77,6.74,5.99,5.14,4.89,4.61,4.78,4.52,4.74,4.57,5.59,3.74,3.52,2.96,2.47,2.65,2.62,2.25,2.42,2.17,2.06,1.88,1.67,1.49,1.46,1.21,0.97,0.95,0.91,0.91,0.79,0.71,0.74,0.66,0.44,99.99
11/15/2021,7.89,6.64,5.85,5.03,4.98,4.31,4.8,4.64,4.41,4.37,4.93,3.95,3.49,2.7,2.45,3.26,2.82,2.4,2.36,2.04,2.23,1.84,1.63,1.62,1.37,0.9,1.04,1.0,0.88,0.88,0.75,0.69,0.74,0.69,0.43,100.01000000000002
11/16/2021,7.89,6.64,5.85,5.03,4.98,4.31,4.8,4.64,4.41,4.37,4.93,3.95,3.49,2.7,2.45,3.26,2.82,2.4,2.36,2.04,2.23,1.84,1.63,1.62,1.37,0.9,1.04,1.0,0.88,0.88,0.75,0.69,0.74,0.69,0.43,100.01000000000002
11/17/2021,7.89,6.64,5.85,5.03,4.98,4.31,4.8,4.64,4.41,4.37,4.93,3.95,3.49,2.7,2.45,3.26,2.82,2.4,2.36,2.04,2.23,1.84,1.63,1.62,1.37,0.9,1.04,1.0,0.88,0.88,0.75,0.69,0.74,0.69,0.43,100.01000000000002
11/18/2021,8.38,6.82,5.86,4.78,4.83,4.32,5.07,4.74,4.25,4.52,5.39,4.06,3.61,2.68,2.29,2.72,2.91,2.37,2.3,2.0,2.13,1.89,1.6,1.67,1.44,0.87,1.0,1.01,0.88,0.85,0.72,0.16,0.73,0.7,0.43,99.98
11/19/2021,8.0,6.81,5.63,4.78,4.71,4.47,5.17,4.81,4.17,4.43,5.72,4.14,3.35,2.68,2.61,2.87,3.03,2.41,2.25,2.04,2.15,1.84,1.57,1.66,1.43,0.85,0.98,1.04,0.86,0.83,0.71,0.16,0.74,0.69,0.42,100.01
11/22/2021,7.93,6.94,5.72,4.77,4.73,4.37,5.35,4.79,4.09,4.44,6.22,4.24,3.29,2.68,2.47,2.98,3.02,2.43,2.16,1.99,2.05,1.7,1.57,1.62,1.4,0.85,0.82,1.04,0.86,0.78,0.73,0.16,0.73,0.68,0.41,100.01
11/23/2021,7.93,6.94,5.72,4.77,4.73,4.37,5.35,4.79,4.09,4.44,6.22,4.24,3.29,2.68,2.47,2.98,3.02,2.43,2.16,1.99,2.05,1.7,1.57,1.62,1.4,0.85,0.82,1.04,0.86,0.78,0.73,0.16,0.73,0.68,0.41,100.01
11/24/2021,7.61,6.98,5.59,4.7,4.64,4.48,5.45,4.71,4.01,4.28,6.88,3.87,3.28,2.92,2.33,3.15,3.15,2.36,2.09,2.03,1.98,1.82,1.58,1.67,1.37,0.78,0.81,1.1,0.92,0.77,0.75,0.15,0.71,0.68,0.38,99.98000000000002
