,QQQ,YSS.V,YSS.V.1,YSS.V.2,YSS.V.3,YSS.V.4,YSS.V.5,YSS.V.6,QQQ 12/16/22 P170 Equity,NDX 09/16/22 P7000 Index,QQQ 06/17/22 P100 Equity,NDX 03/18/22 P7000 Index,n/a,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,QQQ 12/16/22 P130 Equity,QQQ 10/20/21 P352 Equity,QQQ 10/27/21 P365 Equity,QQQ 11/03/21 P370 Equity,QQQ 11/19/21 P380 Equity,QQQ 12/03/21 P383 Equity,SUM
07/09/2021,99.01,0.36,0.28,0.17,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/14/2021,99.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.36,0.15,0.05,0.02,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,99.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.13,0.04,-0.03,0.0,0.0,-0.17,0.09,0.0,0.0,0.0,0.0,99.99
10/18/2021,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.12,0.03,0.01,0.0,0.0,-0.13,0.01,0.0,0.0,0.0,0.0,100.0
10/19/2021,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.12,0.03,0.01,0.0,0.0,-0.13,0.01,0.0,0.0,0.0,0.0,100.0
10/20/2021,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.12,0.03,0.01,0.0,0.0,-0.13,0.01,0.0,0.0,0.0,0.0,100.0
10/21/2021,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.26,0.11,0.03,0.08,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,99.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.25,0.1,0.03,0.03,0.0,0.0,-0.15,0.0,0.04,0.0,0.0,0.0,100.0
10/25/2021,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.25,0.11,0.03,0.03,0.0,0.0,-0.14,0.0,0.02,0.0,0.0,0.0,100.0
10/26/2021,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.25,0.11,0.03,0.03,0.0,0.0,-0.14,0.0,0.02,0.0,0.0,0.0,100.0
10/27/2021,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.1,0.03,0.02,0.0,0.0,-0.14,0.0,0.02,0.0,0.0,0.0,100.0
10/28/2021,99.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.21,0.1,0.02,0.02,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,100.0
10/29/2021,99.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.02,-0.04,0.0,0.0,-0.12,0.0,0.0,0.07,0.0,0.0,100.01
11/01/2021,99.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.09,0.02,0.03,0.0,0.0,-0.12,0.0,0.0,0.02,0.0,0.0,99.99
11/02/2021,99.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.09,0.02,0.03,0.0,0.0,-0.12,0.0,0.0,0.02,0.0,0.0,99.99
11/03/2021,99.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.19,0.09,0.02,0.03,0.0,0.0,-0.12,0.0,0.0,0.01,0.0,0.0,99.99
11/04/2021,99.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.17,0.08,0.02,0.03,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,99.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.08,0.02,0.03,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,99.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17,0.08,0.02,0.03,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.01
11/09/2021,99.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17,0.08,0.02,0.03,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.01
11/10/2021,99.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.18,0.09,0.02,-0.02,0.0,0.0,-0.12,0.0,0.0,0.0,0.04,0.0,100.0
11/11/2021,99.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.17,0.08,0.02,0.01,0.0,0.0,-0.12,0.0,0.0,0.0,0.03,0.0,100.0
11/12/2021,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.2,0.08,0.02,0.01,0.0,0.0,-0.12,0.0,0.0,0.0,0.04,0.0,100.0
