,B 0 08/12/21,NPH.NZ,FXFXX,NPH.NZ.1,B 0 02/03/22,SAR.AX,n/a,SPY,SUM
07/09/2021,83.12,16.91,0.1,-0.12,0.0,0.0,0.0,0.0,100.01
09/03/2021,0.0,0.0,0.0,0.0,79.62,20.37,0.02,0.0,100.01
09/06/2021,0.0,0.0,0.0,0.0,27.25,6.93,34.2,31.63,100.01
09/07/2021,0.0,0.0,34.2,0.0,27.25,0.0,6.93,31.63,100.01
09/08/2021,0.0,0.0,34.2,0.0,27.25,0.0,6.93,31.63,100.01
09/09/2021,0.0,0.0,34.2,0.0,27.25,0.0,6.93,31.63,100.00999999999999
