,2330.TW,700.HK,9988.HK,005930.KS,3690.HK,VALE3.SA,NPN.JO,RELIANCE.NS,939.HK,INFY.NS,NIO,JD,000660.KS,2318.HK,HDFC.NS,2269.HK,005935.KQ,2317.TW,BIDU,2454.TW,PDD,1810.HK,GAZP.ME,NTES,035420.KS,ICICIBANK.NS,SBER.ME,035720.KS,TCS.NS,LKOH.ME,1120.SR,006400.KS,051910.KS,1180.SR,1398.HK,M4B.,2010.SR,005380.KS,3988.HK,HINDUNILVR.NS,YUMC,ITUB4.SA,2331.HK,PETR4.SA,AMXL.MX,2020.HK,068270.KS,2303.TW,BY6.,BAJFINANCE.NS,600519.SS,AXISBANK.NS,BBCA.JK,BBDC4.SA,005490.KS,QNBK.QA,YNDX,2603.TW,000270.KS,7010.SR,GMKN.ME,2308.TW,2382.HK,NVTK.L,PETR3.SA,2313.HK,2222.SR,FAB.,NBK.,B3SA3.SA,FSR.JO,105560.KS,175.HK,2319.HK,BHARTIARTL.NS,TCOM,2881.TW,BILI,066570.KS,ASIANPAINT.NS,ABEV3.SA,1303.TW,WALMEX.MX,FEMSAUBD.MX,012330.KS,2002.TW,GFNORTEO.MX,LI,055550.KS,HKD,6098.HK,2688.HK,BGNE,2412.TW,BBRI.JK,BEKE,MARUTI.NS,CHL.,XPEV,051900.KS,LT.NS,PBBANK.KL,1301.TW,HCLTECH.NS,2891.TW,2882.TW,GMEXICOB.MX,KOTAKBANK.NS,3711.TW,IMP.JO,1216.TW,OTP.BD,2609.TW,MGLU3.SA,KFH.,2886.TW,MTN.JO,036570.KS,PTT-R.BK,207940.KS,ZTO,096770.KS,291.HK,CEMEXCPO.MX,1801.HK,ZLAB,1109.HK,300750.SZ,TCS.L,SBK.JO,WEGE3.SA,1093.HK,SNPMF,EDU,086790.KS,SSW.JO,2884.TW,000858.SZ,600036.SS,TLKM.JK,SCVUF,6415.TW,TATASTEEL.NS,2333.HK,TATN.ME,ULTRACEMCO.NS,SBIN.NS,NTCO3.SA,1326.TW,017670.KS,CPALL-R.BK,011200.KS,3008.TW,ETISALAT.,3034.TW,384.HK,EMIRATESNBD.DB,WIPRO.NS,HTHT,TME,TECHM.NS,ITSA4.SA,857.HK,2357.TW,1010.SR,028260.KS,960.HK,2885.TW,968.HK,5871.TW,1177.HK,DIVISLAB.NS,688.HK,HINDALCO.NS,GFI.JO,268.HK,VIPS,2007.HK,992.HK,ITC.NS,2601.HK,033780.KS,091990.KQ,NESTLEIND.NS,AOT-R.BK,GNDI3.SA,TAL,CPI.JO,009150.KS,GLOB,1288.HK,M&M.NS,2379.TW,2382.TW,ROSN.ME,TITAN.NS,SUZB3.SA,1101.TW,SOL.JO,PKO.WA,2892.TW,ANG.JO,DRREDDY.NS,MAYBANK.KL,BAP,2359.HK,241.HK,JSWSTEEL.NS,XTSLA,RENT3.SA,1918.HK,003220.KS,SUNPHARMA.NS,1211.SR,2327.TW,DMART.NS,TWD,2899.HK,003550.KS,KGH.WA,HDFCLIFE.NS,5880.TW,BID.JO,NTPC.NS,SLM.JO,ABG.JO,POWERGRID.NS,CIMB.KL,BMRI.JK,BJFIN.NS,TATAMOTORS.NS,ZAR,1060.SR,BAJAJFINSV.NS,SBILIFE.NS,6690.HK,ASII.JK,TATACONSUM.NS,SQM/B.SN,POLY.L,6969.HK,KRW,AQE.,1088.HK,586.HK,2020.SR,034730.KS,CLV.,916.HK,3037.TW,SQM.B.SN,SUM
07/09/2021,5.43,4.31,4.25,3.57,1.4,0.9,0.89,0.85,0.79,0.75,0.68,0.65,0.63,0.63,0.6,0.57,0.56,0.54,0.52,0.52,0.52,0.5,0.49,0.47,0.47,0.47,0.45,0.45,0.43,0.4,0.38,0.38,0.37,0.35,0.35,0.34,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.16
07/12/2021,5.48,4.15,4.08,3.54,1.32,0.9,0.89,0.85,0.74,0.76,0.63,0.65,0.61,0.62,0.62,0.59,0.56,0.54,0.5,0.53,0.51,0.5,0.49,0.46,0.48,0.47,0.46,0.47,0.43,0.4,0.38,0.37,0.37,0.35,0.35,0.33,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.2,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.22,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7
07/13/2021,5.48,4.15,4.08,3.54,1.32,0.9,0.89,0.85,0.74,0.76,0.63,0.65,0.61,0.62,0.62,0.59,0.56,0.54,0.5,0.53,0.51,0.5,0.49,0.46,0.48,0.47,0.46,0.47,0.43,0.4,0.38,0.37,0.37,0.35,0.35,0.33,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.2,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.19,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.22,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7
07/14/2021,5.43,4.23,4.04,3.5,1.38,0.91,0.89,0.84,0.73,0.76,0.63,0.67,0.6,0.62,0.61,0.62,0.55,0.54,0.52,0.53,0.52,0.52,0.5,0.47,0.47,0.47,0.46,0.46,0.43,0.4,0.38,0.38,0.35,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.27,0.28,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.18,0.21,0.22,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.23,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72000000000001
07/15/2021,5.43,4.23,4.04,3.5,1.38,0.91,0.89,0.84,0.73,0.76,0.63,0.67,0.6,0.62,0.61,0.62,0.55,0.54,0.52,0.53,0.52,0.52,0.5,0.47,0.47,0.47,0.46,0.46,0.43,0.4,0.38,0.38,0.35,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.27,0.28,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.18,0.21,0.22,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.23,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72000000000001
07/16/2021,5.58,4.3,4.18,3.47,1.43,0.92,0.88,0.84,0.72,0.74,0.61,0.69,0.61,0.61,0.62,0.59,0.55,0.54,0.52,0.52,0.51,0.52,0.49,0.48,0.5,0.48,0.46,0.45,0.42,0.39,0.37,0.38,0.35,0.34,0.34,0.33,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.27,0.26,0.27,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.25,0.23,0.23,0.23,0.16,0.21,0.22,0.23,0.22,0.22,0.21,0.22,0.2,0.21,0.2,0.21,0.21,0.19,0.19,0.2,0.19,0.18,0.17,0.19,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.22,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.12,0.1,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.11,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99
07/19/2021,5.62,4.34,4.26,3.49,1.4,0.93,0.91,0.83,0.72,0.75,0.59,0.69,0.61,0.62,0.61,0.62,0.55,0.55,0.52,0.54,0.5,0.52,0.46,0.48,0.5,0.48,0.45,0.45,0.42,0.38,0.37,0.38,0.34,0.34,0.34,0.34,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.26,0.28,0.27,0.23,0.24,0.22,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.16,0.21,0.21,0.23,0.23,0.22,0.2,0.21,0.19,0.21,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.18,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.12,0.1,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.14,0.14,0.13,0.11,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.09,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.12,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99000000000001
07/20/2021,5.62,4.34,4.26,3.49,1.4,0.93,0.91,0.83,0.72,0.75,0.59,0.69,0.61,0.62,0.61,0.62,0.55,0.55,0.52,0.54,0.5,0.52,0.46,0.48,0.5,0.48,0.45,0.45,0.42,0.38,0.37,0.38,0.34,0.34,0.34,0.34,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.26,0.28,0.27,0.23,0.24,0.22,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.16,0.21,0.21,0.23,0.23,0.22,0.2,0.21,0.19,0.21,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.18,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.15,0.14,0.13,0.12,0.1,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.14,0.14,0.13,0.11,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.09,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.12,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99000000000001
07/21/2021,5.4,4.36,4.26,3.48,1.41,0.92,0.93,0.84,0.72,0.75,0.58,0.68,0.61,0.62,0.61,0.63,0.55,0.55,0.5,0.54,0.49,0.55,0.46,0.48,0.51,0.48,0.45,0.44,0.42,0.38,0.37,0.38,0.35,0.34,0.34,0.34,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.26,0.28,0.27,0.24,0.24,0.22,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.17,0.21,0.21,0.23,0.23,0.22,0.2,0.21,0.19,0.21,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.16,0.2,0.19,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.15,0.0,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.16,0.14,0.16,0.15,0.15,0.16,0.15,0.17,0.15,0.14,0.15,0.14,0.13,0.13,0.11,0.15,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.14,0.12,0.11,0.11,0.12,0.13,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.09,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.09,0.09,0.0,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.09,0.15,0.09,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.970000000000006
07/22/2021,5.41,4.31,4.18,3.48,1.36,0.9,0.93,0.85,0.73,0.75,0.6,0.68,0.6,0.62,0.61,0.64,0.55,0.55,0.5,0.53,0.49,0.55,0.46,0.49,0.51,0.48,0.44,0.44,0.42,0.37,0.38,0.38,0.35,0.35,0.34,0.34,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.25,0.28,0.27,0.23,0.23,0.22,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.18,0.21,0.22,0.23,0.23,0.22,0.2,0.2,0.19,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.15,0.21,0.19,0.15,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.19,0.16,0.18,0.16,0.16,0.15,0.14,0.14,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.16,0.17,0.15,0.14,0.15,0.13,0.13,0.13,0.11,0.14,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.14,0.12,0.11,0.11,0.12,0.13,0.12,0.09,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.1,0.11,0.09,0.0,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82
