,ESGU,EAGG,ESGD,ESGE,ESML,XTSLA,BlackRock Cash Funds Govt SL Agency,127.HK,USD,n/a,SUM
07/09/2021,45.38,19.79,19.54,9.51,5.62,0.6,0.0,0.0,0.0,0.0,100.44
07/12/2021,45.44,19.98,19.49,9.38,5.56,0.6,0.0,0.0,0.0,0.0,100.45
07/13/2021,45.44,19.98,19.49,9.38,5.56,0.6,0.0,0.0,0.0,0.0,100.45
07/14/2021,45.44,19.71,19.63,9.44,5.62,0.0,0.15,0.0,0.0,0.0,99.99
07/15/2021,45.44,19.71,19.63,9.44,5.62,0.0,0.15,0.0,0.0,0.0,99.99
07/16/2021,45.6,19.64,19.75,9.37,5.51,0.15,0.0,0.0,0.0,0.0,100.02
07/19/2021,45.58,19.78,19.64,9.45,5.41,0.1,0.0,0.0,0.0,0.0,99.96
07/20/2021,45.53,19.89,19.62,9.44,5.38,0.0,0.1,0.04,0.0,0.0,100.0
07/21/2021,45.53,19.89,19.62,9.44,5.38,0.0,0.1,0.04,0.0,0.0,100.0
07/22/2021,45.39,20.23,19.5,9.38,5.35,0.1,0.0,0.0,0.0,0.0,99.95
07/23/2021,45.62,20.01,19.45,9.33,5.46,0.1,0.0,0.0,0.0,0.0,99.96999999999998
07/26/2021,45.69,19.82,19.58,9.34,5.43,0.0,0.1,0.04,0.0,0.0,100.0
07/27/2021,45.96,19.71,19.61,9.13,5.44,0.0,0.1,0.04,0.0,0.0,99.99
07/28/2021,45.96,19.71,19.61,9.13,5.44,0.0,0.1,0.04,0.0,0.0,99.99
07/29/2021,46.1,19.7,19.66,8.96,5.46,0.1,0.0,0.0,0.0,0.0,99.97999999999998
07/30/2021,46.09,19.85,19.67,8.82,5.44,0.1,0.0,0.0,0.0,0.0,99.97
08/02/2021,45.89,19.69,19.73,9.05,5.5,0.1,0.0,0.0,0.0,0.0,99.96
08/03/2021,45.84,19.82,19.71,8.99,5.51,0.1,0.0,0.0,0.0,0.0,99.97
08/04/2021,45.84,19.82,19.71,8.99,5.51,0.1,0.0,0.0,0.0,0.0,99.97
08/05/2021,45.84,19.82,19.71,8.99,5.51,0.1,0.0,0.0,0.0,0.0,99.97
08/06/2021,45.81,19.71,19.81,9.06,5.47,0.1,0.0,0.0,0.0,0.0,99.96
08/09/2021,45.83,19.62,19.85,9.07,5.47,0.1,0.0,0.0,0.0,0.0,99.94
08/10/2021,45.96,19.57,19.81,9.0,5.51,0.1,0.0,0.0,0.0,0.0,99.95
08/11/2021,45.96,19.57,19.81,9.0,5.51,0.1,0.0,0.0,0.0,0.0,99.95
08/13/2021,45.94,19.52,19.85,9.05,5.49,0.15,0.0,0.0,0.0,0.0,100.0
08/16/2021,45.93,19.53,19.79,9.06,5.54,0.15,0.0,0.0,0.0,0.0,100.0
08/17/2021,45.91,19.55,19.88,9.02,5.49,0.15,0.0,0.0,0.0,0.0,100.0
08/18/2021,45.91,19.55,19.88,9.02,5.49,0.15,0.0,0.0,0.0,0.0,100.0
08/19/2021,46.06,19.59,19.8,8.95,5.46,0.15,0.0,0.0,0.0,0.0,100.01
08/20/2021,46.08,19.72,19.75,8.87,5.43,0.15,0.0,0.0,0.0,0.0,100.0
08/23/2021,46.05,19.92,19.68,8.83,5.37,0.15,0.0,0.0,0.0,0.0,100.0
08/24/2021,46.19,19.81,19.65,8.77,5.42,0.15,0.0,0.0,0.0,0.0,99.99
08/25/2021,46.19,19.81,19.65,8.77,5.42,0.15,0.0,0.0,0.0,0.0,99.99
08/26/2021,46.24,19.66,19.67,8.84,5.45,0.15,0.0,0.0,0.0,0.0,100.01
08/27/2021,46.16,19.55,19.65,9.0,5.49,0.15,0.0,0.0,0.0,0.0,100.0
08/30/2021,46.2,19.6,19.6,8.95,5.49,0.15,0.0,0.0,0.0,0.0,99.99
08/31/2021,46.18,19.48,19.63,8.99,5.57,0.15,0.0,0.0,0.0,0.0,100.0
09/01/2021,46.18,19.48,19.63,8.99,5.57,0.15,0.0,0.0,0.0,0.0,100.0
09/02/2021,46.29,19.45,19.58,8.99,5.54,0.15,0.0,0.0,0.0,0.0,100.0
09/03/2021,46.21,19.44,19.54,9.12,5.54,0.15,0.0,0.0,0.0,0.0,100.0
09/06/2021,46.12,19.32,19.7,9.12,5.57,0.15,0.0,0.0,0.0,0.0,99.98
09/07/2021,46.08,19.27,19.77,9.16,5.54,0.15,0.0,0.0,0.0,0.0,99.97
09/08/2021,46.08,19.27,19.77,9.16,5.54,0.15,0.0,0.0,0.0,0.0,99.97
09/09/2021,46.09,19.28,19.78,9.16,5.55,0.15,0.0,0.0,0.0,0.0,100.01
09/10/2021,46.0,19.26,19.83,9.25,5.5,0.15,0.0,0.0,0.0,0.0,99.99
09/13/2021,46.0,19.45,19.76,9.13,5.49,0.15,0.0,0.0,0.0,0.0,99.98
09/14/2021,45.87,19.52,19.8,9.18,5.46,0.15,0.0,0.0,0.0,0.0,99.98
09/15/2021,45.87,19.52,19.8,9.18,5.46,0.15,0.0,0.0,0.0,0.0,99.98
09/16/2021,45.8,19.48,19.9,9.17,5.49,0.15,0.0,0.0,0.0,0.0,99.99
09/17/2021,45.75,19.61,19.9,9.14,5.44,0.15,0.0,0.0,0.0,0.0,99.99
09/20/2021,45.97,19.51,19.87,9.0,5.48,0.15,0.0,0.0,0.0,0.0,99.98000000000002
09/21/2021,45.89,19.63,19.76,9.03,5.52,0.15,0.0,0.0,0.0,0.0,99.98
09/22/2021,45.89,19.63,19.76,9.03,5.52,0.15,0.0,0.0,0.0,0.0,99.98
09/23/2021,45.76,19.97,19.68,8.93,5.5,0.15,0.0,0.0,0.0,0.0,99.99
09/24/2021,45.62,19.92,19.85,8.97,5.48,0.15,0.0,0.0,0.0,0.0,99.99
09/27/2021,45.91,19.52,19.85,9.0,5.56,0.15,0.0,0.0,0.0,0.0,99.99
09/28/2021,45.94,19.54,19.7,8.92,5.54,0.0,0.0,0.0,0.21,0.0,99.85
09/29/2021,45.94,19.54,19.7,8.92,5.54,0.0,0.0,0.0,0.21,0.0,99.85
10/01/2021,45.64,19.79,19.6,9.03,5.6,0.0,0.0,0.0,0.18,0.0,99.84
10/20/2021,46.13,19.4,19.6,9.13,5.6,0.1,0.0,0.0,0.04,0.0,100.0
10/21/2021,46.28,19.38,19.48,9.12,5.61,0.1,0.0,0.0,0.04,0.0,100.01
10/25/2021,46.56,19.13,19.45,9.09,5.64,0.1,0.0,0.0,0.04,0.0,100.01
10/26/2021,46.45,19.16,19.56,9.06,5.64,0.1,0.0,0.0,0.04,0.0,100.01
10/27/2021,46.45,19.16,19.56,9.06,5.64,0.1,0.0,0.0,0.04,0.0,100.01
10/28/2021,46.54,19.12,19.46,9.09,5.66,0.1,0.0,0.0,0.04,0.0,100.01
10/29/2021,46.59,19.13,19.5,9.03,5.61,0.1,0.0,0.0,0.04,0.0,100.0
11/01/2021,46.65,19.12,19.57,8.93,5.59,0.09,0.0,0.0,0.04,0.0,99.99000000000002
11/02/2021,46.28,19.97,19.1,8.77,5.7,0.1,0.0,0.0,0.09,0.0,100.01
11/03/2021,46.28,19.97,19.1,8.77,5.7,0.1,0.0,0.0,0.09,0.0,100.01
11/04/2021,46.15,19.86,19.2,8.78,5.81,0.14,0.0,0.0,0.06,0.0,100.0
11/05/2021,46.28,19.85,19.17,8.7,5.81,0.14,0.0,0.0,0.05,0.0,100.0
11/08/2021,46.42,19.72,19.16,8.66,5.83,0.13,0.0,0.0,0.06,0.0,99.98
11/09/2021,46.4,19.76,19.12,8.63,5.89,0.18,0.0,0.0,0.02,0.0,100.0
11/10/2021,46.4,19.76,19.12,8.63,5.89,0.18,0.0,0.0,0.02,0.0,100.0
11/11/2021,46.42,19.7,19.1,8.69,5.89,0.18,0.0,0.0,0.02,0.0,100.0
11/12/2021,46.36,19.79,19.09,8.68,5.89,0.18,0.0,0.0,0.02,0.0,100.01000000000002
11/15/2021,46.26,19.77,19.06,8.85,5.87,0.18,0.0,0.0,0.02,0.0,100.01
11/16/2021,46.26,19.77,19.06,8.85,5.87,0.18,0.0,0.0,0.02,0.0,100.01
11/17/2021,46.42,19.66,19.05,8.82,5.85,0.18,0.0,0.0,0.02,0.0,100.0
11/18/2021,46.49,19.62,19.04,8.8,5.85,0.18,0.0,0.0,0.02,0.0,100.0
11/19/2021,46.63,19.57,18.96,8.79,5.86,0.18,0.0,0.0,0.02,0.0,100.01
11/22/2021,46.58,19.67,18.98,8.78,5.8,0.18,0.0,0.0,0.02,0.0,100.01
11/23/2021,46.58,19.67,18.98,8.78,5.8,0.18,0.0,0.0,0.02,0.0,100.01
11/24/2021,46.75,19.76,18.87,8.67,5.75,0.18,0.0,0.0,0.02,0.0,100.0
11/25/2021,46.76,19.76,18.85,8.66,5.77,0.18,0.0,0.0,0.02,0.0,100.0
11/26/2021,46.83,19.71,18.83,8.66,5.77,0.18,0.0,0.0,0.02,0.0,100.0
11/29/2021,46.94,19.75,18.71,8.63,5.77,0.18,0.0,0.0,0.02,0.0,100.0
11/30/2021,46.75,20.27,18.57,8.53,5.68,0.18,0.0,0.0,0.02,0.0,100.0
12/21/2021,46.67,20.28,18.53,8.32,5.53,0.09,0.0,0.0,0.0,0.59,100.01000000000002
12/22/2021,46.67,20.28,18.53,8.32,5.53,0.09,0.0,0.0,0.0,0.59,100.01000000000002
12/23/2021,46.52,20.42,18.64,8.26,5.47,0.64,0.0,0.0,0.0,0.05,100.0
12/24/2021,46.74,20.12,18.62,8.28,5.56,0.63,0.0,0.0,0.0,0.05,100.0
12/27/2021,47.21,20.01,18.8,8.31,5.62,0.67,0.0,0.0,0.0,-0.61,100.01
12/28/2021,47.21,20.01,18.8,8.31,5.62,0.67,0.0,0.0,0.0,-0.61,100.01
12/29/2021,47.21,20.01,18.8,8.31,5.62,0.67,0.0,0.0,0.0,-0.61,100.01
