,EQIX,AMT,CCI,SBAC,CLNX.MC,LAMR,DLR,GDS,IRM,CONE,COR,QTS,INW.MI,NXT.AX,DBRG,OUT,CCOI,SWCH,AJBU.SI,UNIT,VNET,CD,LAMR.1,CCO,U.S. Bank Money Market Deposit Account,Euro,British Pounds,EBF,HTWS.L,Chindata Group Holdings Ltd ADR,SUM
07/09/2021,15.53,15.18,14.74,4.61,4.57,4.3,4.24,4.24,4.2,4.1,3.0,2.88,2.32,2.23,2.08,2.05,1.63,1.54,1.34,1.23,1.11,0.83,0.81,0.72,0.54,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,15.87,15.38,14.97,4.69,4.6,4.25,4.29,3.98,4.15,4.2,3.07,2.84,2.35,2.21,2.01,2.04,1.58,1.52,1.38,1.21,0.98,0.78,0.0,0.69,0.17,0.0,0.0,0.78,0.0,0.0,99.99
07/13/2021,15.87,15.38,14.97,4.69,4.6,4.25,4.29,3.98,4.15,4.2,3.07,2.84,2.35,2.21,2.01,2.04,1.58,1.52,1.38,1.21,0.98,0.78,0.0,0.69,0.17,0.0,0.0,0.78,0.0,0.0,99.99
07/14/2021,15.96,15.45,15.04,4.69,4.56,4.25,4.33,3.83,4.16,4.21,3.09,2.86,2.34,2.28,1.94,1.99,1.59,1.51,1.37,1.21,0.93,0.0,0.0,0.68,0.17,0.0,0.0,0.0,0.78,0.78,100.0
07/15/2021,15.75,15.33,14.99,4.64,4.57,4.33,4.35,3.84,4.28,4.28,3.1,2.82,2.34,2.15,2.01,2.07,1.61,1.49,1.36,1.22,0.95,0.77,0.0,0.7,0.27,0.0,0.0,0.75,0.0,0.0,99.96999999999998
07/16/2021,15.75,15.33,14.99,4.64,4.57,4.33,4.35,3.84,4.28,4.28,3.1,2.82,2.34,2.15,2.01,2.07,1.61,1.49,1.36,1.22,0.95,0.77,0.0,0.7,0.27,0.0,0.0,0.75,0.0,0.0,99.96999999999998
07/19/2021,15.88,15.49,14.99,4.69,4.46,4.23,4.38,3.98,4.28,4.26,3.07,2.83,2.27,2.1,1.88,1.96,1.61,1.46,1.4,1.23,0.95,0.8,0.0,0.67,0.47,0.0,0.0,0.66,0.0,0.0,100.0
07/20/2021,15.89,15.45,14.97,4.69,4.43,4.21,4.36,4.01,4.26,4.26,3.07,2.83,2.35,2.19,1.89,1.94,1.6,1.47,1.39,1.24,0.91,0.79,0.0,0.68,0.4,0.0,0.0,0.72,0.0,0.0,100.0
07/21/2021,15.9,15.58,15.1,4.73,4.47,4.18,4.38,3.97,4.2,4.24,3.09,2.84,2.37,2.28,1.85,1.88,1.6,1.47,1.39,1.27,0.87,0.76,0.0,0.64,0.18,0.0,0.0,0.75,0.0,0.0,99.99
07/22/2021,15.9,15.58,15.1,4.73,4.47,4.18,4.38,3.97,4.2,4.24,3.09,2.84,2.37,2.28,1.85,1.88,1.6,1.47,1.39,1.27,0.87,0.76,0.0,0.64,0.18,0.0,0.0,0.75,0.0,0.0,99.99
07/23/2021,16.08,15.61,15.13,4.78,4.5,4.06,4.39,4.01,4.18,4.2,3.11,2.86,2.37,2.27,1.81,1.81,1.61,1.49,1.38,1.25,0.87,0.76,0.0,0.62,0.13,0.0,0.0,0.73,0.0,0.0,100.01
07/26/2021,15.76,15.54,15.03,4.73,4.51,4.23,4.33,4.08,4.28,4.22,3.07,2.86,2.38,2.26,1.77,1.97,1.59,1.5,1.38,1.29,0.92,0.79,0.0,0.66,0.14,0.0,0.0,0.72,0.0,0.0,100.01
07/27/2021,15.76,15.54,15.03,4.73,4.51,4.23,4.33,4.08,4.28,4.22,3.07,2.86,2.38,2.26,1.77,1.97,1.59,1.5,1.38,1.29,0.92,0.79,0.0,0.66,0.14,0.0,0.0,0.72,0.0,0.0,100.01
07/28/2021,16.11,15.9,14.54,4.83,4.65,4.24,4.36,3.59,4.26,4.24,3.13,2.88,2.41,2.34,1.75,1.96,1.62,1.49,1.37,1.28,0.78,0.0,0.0,0.63,0.14,0.0,0.0,0.0,0.75,0.75,100.00000000000001
