,2TLT  220630C00001150,2TLT  220630P00144350,Cash&Other,2TLT  220630P00131360,2TLT  220630C00157340,SUM
07/09/2021,99.73,6.14,0.62,-3.19,-3.3,100.0
07/12/2021,99.45,6.68,1.05,-3.54,-3.64,100.0
07/13/2021,99.45,6.68,1.05,-3.54,-3.64,100.0
07/14/2021,99.45,6.68,1.05,-3.54,-3.64,100.0
07/15/2021,99.61,6.54,1.05,-3.36,-3.84,100.0
07/16/2021,99.1,7.07,1.05,-3.63,-3.58,100.01
07/19/2021,100.52,6.18,1.04,-3.21,-4.54,99.99
07/20/2021,99.66,6.2,1.04,-3.05,-3.85,100.0
07/21/2021,99.66,6.2,1.04,-3.05,-3.85,100.0
07/22/2021,102.01,5.58,1.03,-3.21,-5.41,100.0
07/23/2021,101.01,5.97,1.02,-3.04,-4.97,99.99
07/26/2021,100.74,5.9,1.02,-3.06,-4.6,100.0
07/27/2021,100.33,6.18,1.02,-3.08,-4.45,100.0
07/28/2021,100.33,6.18,1.02,-3.08,-4.45,100.0
07/29/2021,100.06,6.38,1.01,-3.12,-4.33,100.0
07/30/2021,100.96,5.87,1.01,-3.04,-4.81,99.99
08/02/2021,100.41,5.88,1.0,-3.0,-4.29,100.0
08/03/2021,100.77,5.64,1.0,-2.9,-4.51,100.0
08/04/2021,100.77,5.64,1.0,-2.9,-4.51,100.0
08/05/2021,101.16,5.29,0.99,-2.59,-4.85,100.0
08/06/2021,101.04,5.18,0.99,-2.5,-4.71,100.0
08/10/2021,99.93,5.95,0.99,-2.83,-4.03,100.01
08/11/2021,99.93,5.95,0.99,-2.83,-4.03,100.01
08/13/2021,99.44,6.3,0.98,-2.99,-3.73,100.0
08/16/2021,98.98,6.32,0.97,-2.91,-3.37,99.99
08/17/2021,100.28,5.54,0.97,-2.9,-3.89,100.0
08/18/2021,100.28,5.54,0.97,-2.9,-3.89,100.0
08/19/2021,100.17,5.29,0.96,-2.5,-3.93,99.99
08/20/2021,100.11,5.14,0.96,-2.3,-3.91,100.0
08/23/2021,100.23,4.96,0.95,-2.19,-3.96,99.99
08/24/2021,100.5,4.79,0.59,-2.04,-3.84,100.0
08/25/2021,100.5,4.79,0.59,-2.04,-3.84,100.0
08/26/2021,100.52,4.77,0.58,-2.05,-3.83,99.99
08/27/2021,100.09,5.11,0.58,-2.21,-3.58,99.99
08/30/2021,99.62,5.29,0.58,-2.26,-3.23,100.0
08/31/2021,100.26,4.86,0.57,-2.23,-3.47,99.99
09/01/2021,100.26,4.86,0.57,-2.23,-3.47,99.99
09/02/2021,100.37,4.67,0.57,-2.08,-3.53,100.0
09/03/2021,99.89,4.97,0.57,-2.17,-3.27,99.99
09/06/2021,100.09,4.67,0.56,-1.98,-3.35,99.99
09/07/2021,99.48,5.09,0.56,-2.08,-3.05,100.0
09/08/2021,99.48,5.09,0.56,-2.08,-3.05,100.0
09/09/2021,99.48,5.09,0.56,-2.08,-3.05,100.0
09/10/2021,99.3,5.51,0.56,-2.44,-2.93,100.0
09/13/2021,100.0,4.67,0.54,-1.92,-3.3,99.99
09/14/2021,99.58,4.99,0.54,-2.03,-3.08,100.0
09/15/2021,99.58,4.99,0.54,-2.03,-3.08,100.0
09/16/2021,99.93,4.75,0.53,-1.96,-3.26,99.99
09/17/2021,99.96,4.56,0.39,-1.53,-3.39,99.99
09/20/2021,99.52,4.75,0.71,-1.7,-3.28,100.0
09/21/2021,99.66,4.85,0.71,-1.96,-3.25,100.01
09/22/2021,99.66,4.85,0.71,-1.96,-3.25,100.01
09/23/2021,100.76,4.21,0.71,-1.83,-3.85,100.0
09/24/2021,100.56,4.22,0.7,-1.77,-3.72,99.99
