,NEE,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,WEC,AWK,ES,DTE,ED,PPL,EIX,ETR,FE,AEE,CMS,AES,PCG,LNT,EVRG,CNP,ATO,WTRG,NI,UGI,PNW,NRG,VST,OGE,MDU,NEP,IDA,HE,NFG,POR,BKH,NJR,AGR,PNM,OGS,SWX,SR,ALE,NWE,AVA,ORA,AWR,CWT,MGEE,SJI,NOVA,CPK,OTTR,CWEN,SJW,NWN,MSEX,CWEN.A,UTL,YORW,SGU,Us Dollar,4338.SR,4340.SR,n/a,SUM
07/09/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,-0.02,0.0,0.0,0.0,99.98
07/12/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,0.0,-0.02,0.0,0.0,99.98
07/13/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,0.0,-0.02,0.0,0.0,99.98
07/14/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,0.0,-0.02,0.0,0.0,99.98
07/15/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,0.0,-0.02,0.0,0.0,99.98
07/16/2021,13.59,7.29,6.39,5.81,4.17,4.04,3.89,3.61,2.98,2.8,2.66,2.64,2.53,2.5,2.12,2.01,2.0,1.95,1.88,1.72,1.6,1.43,1.35,1.33,1.32,1.2,1.05,0.95,0.91,0.9,0.74,0.67,0.65,0.64,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.19,0.19,0.18,0.17,0.15,0.14,0.09,0.08,0.06,0.04,0.0,-0.02,0.0,0.0,99.98
07/19/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,0.0,0.0,100.01
07/20/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,0.0,0.0,100.01
07/21/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,0.0,0.0,100.01
07/22/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,0.0,0.0,100.01
07/23/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,0.0,0.0,100.01
