,TREASURY NOTE,TREASURY NOTE (2OLD),TREASURY NOTE.1,TREASURY NOTE.2,BLK CSH FND TREASURY SL AGENCY,T 0.625 08/15/30,T 0.875 11/15/30,T 0.625 05/15/30,T 1.5 02/15/30,XTSLA,4282.T,n/a,SUM
07/09/2021,27.39,27.24,25.62,19.24,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77
07/21/2021,0.0,0.0,0.0,0.0,0.0,27.39,27.24,25.63,19.23,0.28,0.22,0.0,99.99
07/26/2021,0.0,0.0,0.0,0.0,0.0,27.39,27.24,25.63,19.23,0.28,0.22,0.0,99.99
07/28/2021,0.0,0.0,0.0,0.0,0.0,27.39,27.23,25.63,19.24,0.28,0.22,0.0,99.99
08/18/2021,0.0,0.0,0.0,0.0,0.0,27.42,27.27,25.65,19.24,0.28,0.14,0.0,100.0
09/29/2021,0.0,0.0,0.0,0.0,0.0,28.2,30.82,23.0,17.41,0.57,0.0,0.01,100.01
10/04/2021,0.0,0.0,0.0,0.0,0.0,28.19,30.81,23.0,17.42,0.57,0.0,0.01,100.0
10/05/2021,0.0,0.0,0.0,0.0,0.0,28.19,30.81,23.0,17.42,0.57,0.0,0.01,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.0,28.19,30.81,23.0,17.42,0.57,0.0,0.01,100.0
10/07/2021,0.0,0.0,0.0,0.0,0.0,28.21,30.83,23.02,17.43,0.57,0.0,-0.07,99.99000000000001
