,n/a,SUM
09/23/2021,100.0,100.0
09/24/2021,100.0,100.0
09/27/2021,100.0,100.0
09/28/2021,100.0,100.0
09/29/2021,100.0,100.0
09/30/2021,100.0,100.0
10/01/2021,100.0,100.0
10/04/2021,100.0,100.0
10/05/2021,100.0,100.0
10/06/2021,100.0,100.0
10/07/2021,100.0,100.0
10/08/2021,100.0,100.0
10/11/2021,100.0,100.0
10/12/2021,100.0,100.0
10/13/2021,100.0,100.0
10/14/2021,100.0,100.0
10/15/2021,100.0,100.0
10/18/2021,100.0,100.0
10/19/2021,100.0,100.0
10/20/2021,100.0,100.0
10/21/2021,100.0,100.0
10/22/2021,100.0,100.0
10/25/2021,100.0,100.0
10/26/2021,100.0,100.0
10/27/2021,100.0,100.0
10/28/2021,100.0,100.0
10/29/2021,100.0,100.0
