,AMD,TSEM,AMAT,NVAX,ONTO,UCTT,KLAC,LRCX,ENTG,ASML,BRKR,INTC,7751,TSM,A,ACLS,NANO,OXIG,MRNA,NNDM,6641.T,VECO,LASR,GTH,NPTN,140860,121600,SMHN,6613,247660.KQ,n/a,6641,247660,SUM
11/16/2021,5.19,4.85,4.84,4.82,4.78,4.74,4.68,4.68,4.49,4.41,4.34,4.33,4.32,4.31,4.31,3.71,3.39,3.15,2.83,2.61,2.53,2.43,2.1,2.09,1.45,1.3,1.13,0.96,0.5,0.45,0.28,0.0,0.0,100.0
11/17/2021,5.19,4.85,4.84,4.82,4.78,4.74,4.68,4.68,4.49,4.41,4.34,4.33,4.32,4.31,4.31,3.71,3.39,3.15,2.83,2.61,2.53,2.43,2.1,2.09,1.45,1.3,1.13,0.96,0.5,0.45,0.28,0.0,0.0,100.0
11/18/2021,5.14,4.88,4.83,4.89,4.7,4.79,4.68,4.72,4.5,4.46,4.33,4.34,4.28,4.29,4.23,3.73,3.36,3.14,2.87,2.55,2.52,2.44,2.13,2.03,1.45,1.38,1.04,0.96,0.58,0.48,0.28,0.0,0.0,100.0
11/19/2021,5.3,4.85,4.82,4.79,4.8,4.78,4.74,4.7,4.54,4.4,4.36,4.31,4.23,4.25,4.28,3.84,3.35,3.2,2.83,2.48,0.0,2.42,2.12,2.1,1.43,1.37,1.02,0.94,0.54,0.0,0.28,2.44,0.49,100.0
11/22/2021,5.25,4.8,4.76,5.15,4.76,4.69,4.69,4.66,4.52,4.46,4.43,4.27,4.2,4.27,4.27,3.76,3.55,3.21,2.92,2.36,0.0,2.39,2.08,2.01,1.41,1.37,1.04,0.94,0.6,0.0,0.27,2.44,0.46,99.99
11/23/2021,5.25,4.8,4.76,5.15,4.76,4.69,4.69,4.66,4.52,4.46,4.43,4.27,4.2,4.27,4.27,3.76,3.55,3.21,2.92,2.36,0.0,2.39,2.08,2.01,1.41,1.37,1.04,0.94,0.6,0.0,0.27,2.44,0.46,99.99
11/24/2021,5.37,4.75,4.56,5.37,4.73,4.5,4.71,4.75,4.55,4.41,4.34,4.2,4.25,4.45,4.34,3.72,3.58,3.23,3.17,2.21,0.0,2.37,2.07,1.89,1.42,1.42,1.03,0.9,0.54,0.0,0.27,2.49,0.4,99.99000000000002
