,TYZ1,T 1 07.31.28,n/a,TYH2,SUM
10/15/2021,253.77,59.04,42.11,0.0,354.92
10/18/2021,252.45,58.84,41.77,0.0,353.05999999999995
10/19/2021,252.45,58.84,41.77,0.0,353.05999999999995
10/20/2021,252.45,58.84,41.77,0.0,353.05999999999995
10/21/2021,255.24,59.53,42.51,0.0,357.28
10/22/2021,256.31,59.73,42.73,0.0,358.77000000000004
10/25/2021,257.84,60.1,43.12,0.0,361.06
10/26/2021,257.84,60.1,43.12,0.0,361.06
10/27/2021,256.86,59.95,42.96,0.0,359.77
10/28/2021,256.53,59.75,42.28,0.0,358.55999999999995
10/29/2021,256.34,59.71,42.23,0.0,358.28
11/01/2021,255.61,59.57,42.08,0.0,357.26
11/02/2021,255.61,59.57,42.08,0.0,357.26
11/03/2021,255.91,59.45,42.29,0.0,357.65000000000003
11/04/2021,256.29,59.65,42.18,0.0,358.12
11/05/2021,254.69,59.36,41.86,0.0,355.91
11/08/2021,253.24,59.03,41.51,0.0,353.78
11/09/2021,253.24,59.03,41.51,0.0,353.78
11/10/2021,251.17,58.55,41.0,0.0,350.72
11/11/2021,253.29,59.06,41.51,0.0,353.86
11/12/2021,250.91,58.54,41.11,0.0,350.56
11/15/2021,257.09,60.03,42.59,0.0,359.71000000000004
11/16/2021,256.64,59.8,42.42,0.0,358.86
11/17/2021,256.64,59.8,42.42,0.0,358.86
11/18/2021,257.58,60.03,42.66,0.0,360.27
11/19/2021,258.06,60.16,42.79,0.0,361.0100000000001
11/22/2021,257.07,59.87,41.29,0.0,358.23
11/23/2021,257.07,59.87,41.29,0.0,358.23
11/24/2021,254.83,59.46,40.87,0.0,355.16
11/25/2021,258.83,60.33,41.75,0.0,360.91
11/26/2021,0.0,60.56,39.34,258.1,358.0
11/29/2021,0.0,60.48,39.27,258.07,357.82
11/30/2021,0.0,60.48,39.27,258.07,357.82
12/01/2021,0.0,59.06,38.31,252.85,350.22
12/02/2021,0.0,59.06,38.31,252.85,350.21999999999997
