,APD,FCX,ADM,SK3.IR,MOS,AAL.L,VWS.CO,NXE.TO,NTR.TO,NUE,ORSTED.CO,NHY.OL,CGC.AX,DSM.AS,BLL,STERV.HE,AA,WFG.TO,JCI,SGRE.MC,CIA.TO,IVN.TO,SML.NZ,IGO.AX,SCATC.OL,ORE.AX,SBSW,NEX.PA,WY,MP,SLS.TO,ACC.OL,BYND,SALM.OL,LTR.AX,NIC.AX,INR.AX,n/a,LGO.TO,CRBN.AS,SGML.V,TRQ.TO,TLO.TO,FOM.V,CXO.AX,XBC.TO,SFR.AX,MI6.AX,LGO.NE,SUM
11/01/2021,5.37,4.79,4.71,4.16,4.01,3.78,3.23,3.08,3.0,2.89,2.89,2.83,2.79,2.61,2.57,2.56,2.56,2.49,2.48,2.48,2.37,2.34,2.14,2.06,2.01,1.99,1.94,1.93,1.52,1.5,1.38,1.32,1.32,1.15,1.14,1.05,1.03,0.96,0.91,0.91,0.86,0.62,0.61,0.54,0.53,0.44,0.15,0.01,0.0,100.01
11/02/2021,5.39,4.79,4.72,4.13,4.03,3.82,3.21,3.07,3.02,2.98,2.84,2.74,2.73,2.61,2.59,2.52,2.56,2.43,2.5,2.47,2.44,2.37,2.21,2.04,1.96,2.01,1.92,1.96,1.51,1.48,1.37,1.29,1.31,1.14,1.15,1.08,1.06,0.97,0.93,0.91,0.85,0.61,0.62,0.54,0.54,0.46,0.15,0.01,0.0,100.04
11/03/2021,5.39,4.79,4.72,4.13,4.03,3.82,3.21,3.07,3.02,2.98,2.84,2.74,2.73,2.61,2.59,2.52,2.56,2.43,2.5,2.47,2.44,2.37,2.21,2.04,1.96,2.01,1.92,1.96,1.51,1.48,1.37,1.29,1.31,1.14,1.15,1.08,1.06,0.97,0.93,0.91,0.85,0.61,0.62,0.54,0.54,0.46,0.15,0.01,0.0,100.04
11/04/2021,5.39,4.79,4.72,4.13,4.03,3.82,3.21,3.07,3.02,2.98,2.84,2.74,2.73,2.61,2.59,2.52,2.56,2.43,2.5,2.47,2.44,2.37,2.21,2.04,1.96,2.01,1.92,1.96,1.51,1.48,1.37,1.29,1.31,1.14,1.15,1.08,1.06,0.97,0.93,0.91,0.85,0.61,0.62,0.54,0.54,0.46,0.15,0.01,0.0,100.04
11/15/2021,5.58,5.18,4.85,4.18,3.56,3.88,2.64,3.28,2.95,3.02,2.75,2.79,2.79,2.63,2.59,2.62,2.84,2.52,2.59,2.27,2.29,2.45,2.02,1.93,1.87,2.05,2.01,1.97,1.55,1.87,1.19,1.38,1.09,1.08,0.97,1.04,1.09,0.97,0.0,0.91,0.93,0.57,0.66,0.61,0.54,0.51,0.15,0.01,0.81,100.03
11/16/2021,5.5,5.16,4.78,4.14,3.57,3.83,2.68,3.17,2.9,2.95,2.75,2.76,2.74,2.62,2.61,2.61,2.85,2.49,2.63,2.28,2.37,2.48,2.07,2.01,1.88,2.1,1.92,1.95,1.54,2.01,1.21,1.36,1.12,1.08,0.92,1.06,1.1,0.96,0.0,0.9,0.92,0.59,0.69,0.65,0.53,0.57,0.15,0.01,0.83,100.0
11/17/2021,5.5,5.16,4.78,4.14,3.57,3.83,2.68,3.17,2.9,2.95,2.75,2.76,2.74,2.62,2.61,2.61,2.85,2.49,2.63,2.28,2.37,2.48,2.07,2.01,1.88,2.1,1.92,1.95,1.54,2.01,1.21,1.36,1.12,1.08,0.92,1.06,1.1,0.96,0.0,0.9,0.92,0.59,0.69,0.65,0.53,0.57,0.15,0.01,0.83,100.0
