,MEDIND 3.875 04.01.29 144A,CNC 4.625 12.15.29,XTSLA,AAL 5.75 04.20.29 144A,MEDIND 5.25 10.01.29 144A,SFRFP 5.125 07.15.29 144A,IM 4.75 05.15.29 144A,UAL 4.625 04.15.29 144A,ALTICE 5.75 08.15.29 144a,SFRFP 5.5 10.15.29 144A,CCL 6 05.01.29 144A,CSCHLD 6.5 02.01.29 144A,VMED 5.5 05.15.29 144A,UBER 4.5 08.15.29 144A,CHTR 5.375 06.01.29 144A,CRK 6.75 03.01.29 144A,POST 5.5 12.15.29 144A,CQP 4.5 10.01.29,JAZZ 4.375 01.15.29 144A,F 5.113 05.03.29,SBAC 3.125 02.01.29,VST 4.375 05.01.29 144A,SIRI 5.5 07.01.29 144A,THC 4.25 06.01.29 144A,HCA 5.875 02.01.29,COMM 4.75 09.01.29 144A,ACI 3.5 03.15.29 144A,VENTGL 3.875 08.15.29 144A,NCR 5.125 04.15.29 144A,CYH 6.875 04.15.29 144A,TDG 4.625 01.15.29,TGNA 5 09.15.29,DISH 5.125 06.01.29,IIVI 5 12.15.29 144A,INTMAT 6.5 08.01.29 144A,DTMINC 4.125 06.15.29 144A,CZR 4.625 10.15.29 144A,GRA 5.625 08.15.29 144A,TMUS 3.375 04.15.29 144A,TMUS 3.375 04.15.29,STGW 5.625 08.15.29 144A,UVN 4.5 05.01.29 144A,ENDP 6.125 04.01.29 144A,PETM 7.75 02.15.29 144A,MIK 7.875 05.01.29 144A,UNIT 6.5 02.15.29 144A,MSCI 4 11.15.29 144A,IRM 4.875 09.15.29 144A,ST 4 04.15.29 144A,AMC 7.5 02.15.29 144A,NFLX 5.375 11.15.29 144A,NWSA 3.875 05.15.29 144A,BHCCN 6.25 02.15.29 144A,AMCX 4.25 02.15.29,CODI 5.25 04.15.29 144A,TROX 4.625 03.15.29 144A,ADT 4.125 08.01.29 144A,FYBR 6.75 05.01.29 144A,CCO 7.5 06.01.29 144A,PFGC 4.25 08.01.29 144A,TMUS 2.625 02.15.29,RRC 8.25 01.15.29,LUMN 5.375 06.15.29 144A,MERC 5.125 02.01.29,MPEL 5.375 12.04.29 144A,LGF 5.5 04.15.29 144A,HTZ 5 12.01.29 144A,MAGLLC 4.875 05.01.29 144A,BBWI 7.5 06.15.29,RWLVCA 4.625 04.16.29 REGS,AMPBEV 4 09.01.29 144A,CHK 6.75 04.15.29 144A,CYH 6 01.15.29 144A,NFLX 6.375 05.15.29,LUMN 4.5 01.15.29 144A,SUN 4.5 05.15.29,FRTITA 4.625 01.15.29 144A,HGVLLC 5 06.01.29 144A,ABG 4.625 11.15.29 144A,VGR 5.75 02.01.29 144A,NSCO 5.5 04.15.29 144A,CLVTSC 4.875 07.01.29 144A,OLN 5.625 08.01.29,MADIAQ 5.875 06.30.29 144A,OTEXCN 3.875 12.01.29 144A,AM 5.375 06.15.29 144A,PKICN 4.5 10.01.29 144A,CDK 5.25 05.15.29 144A,UNSEAM 6 06.01.29 144A,X 6.875 03.01.29,RLGY 5.75 01.15.29 144A,SCI 5.125 06.01.29,IGT 5.25 01.15.29 144A,NLSN 4.5 07.15.29 144A,SUMMAT 5.25 01.15.29 144A,WYNMAC 5.125 12.15.29 144A,LVLT 3.75 07.15.29 144A,MPW 4.625 08.01.29,RCKENE 5.5 10.15.29 144A,USFOOD 4.75 02.15.29 144A,AMWINS 4.875 06.30.29 144A,PK 4.875 05.15.29 144A,GT 5 07.15.29,LPLA 4 03.15.29 144A,HOLX 3.25 02.15.29 144A,BCULC 3.5 02.15.29 144A,LAD 3.875 06.01.29 144A,IEP 4.375 02.01.29,AVTR 3.875 11.01.29 144A,CRWD 3 02.15.29,HLT 3.75 05.01.29 144A,EQM 4.5 01.15.29 144A,SIMFOO 4.625 03.01.29 144A,BIGBRS 6.625 01.31.29 144A,FRSTST 4 07.31.29 144A,ACRISU 4.25 02.15.29 144A,WYNFIN 5.125 10.01.29 144A,STCITY 5 01.15.29 144A,VVNT 5.75 07.15.29 144A,FGP 5.875 04.01.29 144A,TPX 4 04.15.29 144A,CVA 4.875 12.01.29 144A,NRG 5.25 06.15.29 144A,COLGTE 5.875 07.01.29 144A,LVLT 3.625 01.15.29 144A,MXCN 5.25 12.15.29,F 2.9 02.10.29,ENR 4.375 03.31.29 144A,CMLP 6 02.01.29 144A,USLBMH 6.25 01.15.29 144A,LILAPR 5.125 07.15.29 144A,AR 7.625 02.01.29 144A,GFLCN 4.75 06.15.29 144A,OMF 5.375 11.15.29,LADR 4.75 06.15.29 144A,GDDY 3.5 03.01.29 144A,SEAS 5.25 08.15.29 144A,NAVI 5.5 03.15.29,MORTON 6.625 05.01.29 144A,CC 4.625 11.15.29 144A,ZMINFO 3.875 02.01.29 144A,TDG 4.875 05.01.29,BHCCN 5 02.15.29 144A,MHED 8 08.01.29 144A,TNL 4.5 12.01.29 144A,TEN 7.875 01.15.29 144A,BROPAR 5.875 04.15.29 144A,SAH 4.625 11.15.29 144A,SWCH 4.125 06.15.29 144A,SWN 5.375 02.01.29,MEGCN 5.875 02.01.29 144A,RKTRM 3.625 03.01.29 144A,UWMLLC 5.5 04.15.29 144A,SRSDIS 6 12.01.29 144A,FYBR 5.875 11.01.29,TRIWAT 6.25 04.01.29 144A,HILCRP 5.75 02.01.29 144A,LNW 7.25 11.15.29 144A,FUN 5.25 07.15.29,EOCGRO 6.5 05.15.29 144A,MAT 3.75 04.01.29 144A,BAH 4 07.01.29 144A,HUNTCO 5.25 04.15.29 144A,BALY 5.625 09.01.29 144A,RHP 4.5 02.15.29 144A,HQY 4.5 10.01.29 144A,HHC 4.125 02.01.29 144A,TEX 5 05.15.29 144A,EIGI 6 02.15.29 144A,BIGSKY 4.75 05.15.29 144A,ROLL 4.375 10.15.29 144A,IT 3.625 06.15.29 144A,KW 4.75 03.01.29,CAR 5.375 03.01.29 144A,SSP 3.875 01.15.29 144A,TWLO 3.625 03.15.29,WMG 3.75 12.01.29 144A,CTECLN 3.875 10.15.29 144A,HWM 3 01.15.29,SSW 5.5 08.01.29 144A,EPC 4.125 04.01.29 144A,PLTK 4.25 03.15.29 144A,NCLH 7.75 02.15.29 144A,TKCHOL 10.5 05.15.29 144A,VAC 4.5 06.15.29 144A,CPN 4.625 02.01.29 144A,OMI 4.5 03.31.29 144A,CTLT 3.125 02.15.29 144A,ESTC 4.125 07.15.29 144A,GFLCN 4.375 08.15.29 144A,GPS 3.625 10.01.29 144A,AXL 5 10.01.29,TTMI 4 03.01.29 144A,TNET 3.5 03.01.29 144A,SYNH 3.625 01.15.29 144A,PRG 6 11.15.29 144A,AXTA 3.375 02.15.29 144A,DAL 3.75 10.28.29,PERIMS 5 10.30.29 144A,PRMWCN 4.375 04.30.29 144A,HOUS 5.75 01.15.29 144A,ACCO 4.25 03.15.29 144A,WWW 4 08.15.29 144A,MWGAME 4.875 05.01.29 144A,POLY 4.75 03.01.29 144A,SUM
06/07/2022,1.59,1.43,1.35,1.26,0.93,0.91,0.79,0.79,0.77,0.73,0.71,0.67,0.57,0.57,0.57,0.57,0.54,0.53,0.53,0.53,0.53,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.0,0.0,0.0,0.0,0.0,73.94
06/17/2022,1.6,1.43,0.63,1.24,0.93,0.88,0.79,0.77,0.75,0.72,0.7,0.65,0.57,0.56,0.57,0.56,0.53,0.53,0.53,0.52,0.52,0.51,0.5,0.5,0.51,0.49,0.47,0.47,0.48,0.47,0.45,0.46,0.43,0.45,0.46,0.44,0.42,0.42,0.43,0.42,0.42,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.39,0.4,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.35,0.39,0.37,0.39,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.37,0.35,0.36,0.36,0.36,0.34,0.35,0.36,0.35,0.34,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.36,0.34,0.34,0.0,0.34,0.33,0.33,0.34,0.32,0.32,0.32,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.3,0.3,0.31,0.31,0.31,0.3,0.32,0.31,0.3,0.31,0.3,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.3,0.28,0.28,0.29,0.28,0.26,0.27,0.27,0.28,0.27,0.26,0.26,0.27,0.26,0.27,0.28,0.26,0.27,0.25,0.25,0.27,0.26,0.26,0.25,0.24,0.25,0.25,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.0,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.0,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.23,0.23,0.33,0.23,0.23,0.23,0.22,72.85
