,GSK.L,SSE.L,LGEN.L,IGG.L,NN.AS,ORA.PA,PROX.BR,SRG.MI,AOX.DE,PST.MI,Telecom Italia SpA (RSP Shares),Tele2 AB (Class B),Holcim Ltd.,TEG.DE,FORTUM.HE,Bayerische Motoren Werke AG (Preference),Covivo,AGS.BR,GYC.DE,OMV.VI,ALV.DE,ZURN.SW,PUB.PA,TYRES.HE,SLHN.SW,PAH3.DE,EVK.DE,DPW.DE,G.MI,UBSG.SW,US Dollar,SUM
07/09/2021,6.21,5.4,5.0,4.5,4.18,4.08,4.05,3.81,3.59,3.39,3.37,3.28,3.26,3.24,3.22,3.2,3.16,3.03,3.0,2.95,2.84,2.68,2.62,2.55,2.49,2.33,2.29,2.28,1.93,1.74,0.34,100.01000000000002
07/12/2021,6.22,5.43,5.09,4.57,4.22,4.06,4.05,3.77,3.67,3.34,3.28,3.27,3.26,3.27,3.2,3.24,3.25,3.05,3.03,2.91,2.83,2.69,2.55,2.59,2.5,2.4,2.34,2.26,1.94,1.71,0.01,100.0
07/13/2021,6.22,5.43,5.09,4.57,4.22,4.06,4.05,3.77,3.67,3.34,3.28,3.27,3.26,3.27,3.2,3.24,3.25,3.05,3.03,2.91,2.83,2.69,2.55,2.59,2.5,2.4,2.34,2.26,1.94,1.71,0.01,100.0
07/22/2021,6.26,5.37,4.9,4.45,4.28,4.13,4.18,3.86,3.82,3.29,3.22,3.54,3.2,3.34,3.2,3.19,3.24,2.89,3.05,2.82,2.78,2.71,2.5,2.61,2.48,2.37,2.4,2.29,1.92,1.72,0.01,100.02000000000002
07/23/2021,6.26,5.37,4.9,4.45,4.28,4.13,4.18,3.86,3.82,3.29,3.22,3.54,3.2,3.34,3.2,3.19,3.24,2.89,3.05,2.82,2.78,2.71,2.5,2.61,2.48,2.37,2.4,2.29,1.92,1.72,0.01,100.02000000000002
08/03/2021,6.12,5.11,4.98,4.69,4.34,4.0,4.22,3.91,3.91,3.37,2.99,3.42,3.25,3.21,3.21,3.11,3.31,2.89,2.96,2.8,2.8,2.71,2.54,2.61,2.6,2.35,2.38,2.21,1.92,1.87,0.21,100.0
