,Cash,Dj U.S. Oil & Gas Index Swap Bank Of America Na - Cash Offset,Dj U.S. Oil & Gas Index Swap Ubs Ag - Cash Offset,Dj U.S. Oil & Gas Index Swap Societe Generale - Cash Offset,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc - Cash,Ishares U.S. Energy (Iye) Swap Bank Of America Na - Cash Offset,Ishares U.S. Energy (Iye) Swap Morgan Stanley & Co. International Plc - Cas,Dj U.S. Oil & Gas Index Swap Goldman Sachs International - Cash Offset,Dj U.S. Oil & Gas Index Swap Goldman Sachs International,Ishares U.S. Energy (Iye) Swap Morgan Stanley & Co. International Plc,Ishares U.S. Energy (Iye) Swap Bank Of America Na,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Oil & Gas Index Swap Societe Generale,Dj U.S. Oil & Gas Index Swap Ubs Ag,Dj U.S. Oil & Gas Index Swap Bank Of America Na,SUM
07/09/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/12/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/13/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/14/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/15/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/16/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/19/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
07/20/2021,100.0,65.62,58.33,33.64,25.05,7.51,7.36,2.57,-2.57,-7.36,-7.51,-25.05,-33.64,-58.33,-65.62,100.00000000000006
