,FB,GOOG,GOOGL,DIS,CMCSA,NFLX,VZ,T,CHTR,TMUS,ATVI,SNAP,TWTR,EA,ROKU,MTCH,PINS,LBRDK,VIAC,TTWO,OMC,Z,LYV,IPG,AMC,LUMN,FOXA,DISH,NWSA,LBTYK,ZNGA,DISCK,IAC,FWONK,NXST,CABO,ATUS,LSXMK,FOX,TRIP,LBRDA,ZG,TGNA,IRDM,NYT,LBTYA,LSXMA,DISCA,ZI,CDLX,NWS,MGNI,CCOI,SIRI,WMG,YELP,JW.A,BMBL,MSGS,WWE,IHRT,BAND,TDS,SHEN,CNK,PLTK,LILAK,CARG,VMEO,GTN,TTGT,SKLZ,LGF/B,LGF.A,SBGI,MSGE,AMCX,MDP,EB,FUBO,SSP,IMAX,GSAT,BATRK,CARS,ANGI,RADI,QNST,SCHL,WOW,ORBC,ADV,CCO,CBB,GCI,CNSL,MAX,LILA,MSGN,WIFI,GOGO,ATEX,TRUE,AUD,ATNI,USM,BOMN,EVER,MCS,LORL,LTRPA,CURI,BATRA,HMTV,THRY,CHG.BK,RBLX,EEX,NCMI,EDR,VG,SCOR,FWONA,Boingo Wireless Inc,PTBL.TA,n/a,1379.T,SAR.AX,PUBM,SUM
07/23/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/26/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/27/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/28/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/29/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/30/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/02/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/03/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/04/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/05/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
