,601012.SS,000858.SZ,BABA,700.HK,JD,Yuan Renminbi,300015.SZ,002475.SZ,002714.SZ,000568.SZ,600031.SS,2382.HK,600809.SS,603288.SS,000661.SZ,6098.HK,600585.SS,603986.SS,VIPS,000895.SZ,000157.SZ,002064.SZ,960.HK,300595.SZ,968.HK,000799.SZ,300529.SZ,600745.SS,002709.SZ,ATHM,600406.SS,002459.SZ,6186.HK,6066.HK,000800.SZ,002568.SZ,300033.SZ,002001.SZ,601100.SS,600143.SS,000708.SZ,603899.SS,601155.SS,354.HK,601636.SS,601799.SS,600298.SS,000513.SZ,6666.HK,600845.SS,603369.SS,600779.SS,285.HK,322.HK,002223.SZ,600655.SS,600801.SS,000785.SZ,002402.SZ,300244.SZ,603444.SS,002030.SZ,QFIN,151.HK,867.HK,600486.SS,1579.HK,002127.SZ,601966.SS,9992.HK,601881.SS,600521.SS,002157.SZ,300088.SZ,300482.SZ,002382.SZ,603816.SS,002299.SZ,3319.HK,600380.SS,300373.SZ,300418.SZ,002810.SZ,000975.SZ,000581.SZ,601872.SS,300502.SZ,002614.SZ,3380.HK,603338.SS,002214.SZ,000623.SZ,002626.SZ,1995.HK,000999.SZ,300171.SZ,002124.SZ,002793.SZ,000921.SZ,1238.HK,603638.SS,002216.SZ,HUYA,002705.SZ,300132.SZ,600507.SS,002022.SZ,002832.SZ,603568.SS,002803.SZ,300206.SZ,000951.SZ,603987.SS,603198.SS,2400.HK,603606.SS,600328.SS,603218.SS,1858.HK,002154.SZ,002484.SZ,600720.SS,000672.SZ,600211.SS,600503.SS,002605.SZ,1789.HK,QTG.AX,300443.SZ,002724.SZ,000789.SZ,603416.SS,000563.SZ,000923.SZ,1755.HK,603601.SS,300394.SZ,1610.HK,603313.SS,300552.SZ,002726.SZ,300259.SZ,2606.HK,603018.SS,002567.SZ,603686.SS,600477.SS,002392.SZ,603609.SS,603111.SS,300016.SZ,300365.SZ,3990.HK,300400.SZ,002553.SZ,603309.SS,9997.HK,9928.HK,600731.SS,300511.SZ,002838.SZ,300578.SZ,600449.SS,002208.SZ,000897.SZ,300423.SZ,603877.SS,600975.SS,CANG,002661.SZ,002381.SZ,300314.SZ,2233.HK,300246.SZ,002835.SZ,9983.HK,000955.SZ,6988.HK,1558.HK,300092.SZ,002107.SZ,002432.SZ,600051.SS,300462.SZ,603258.SS,603968.SS,600658.SS,002757.SZ,002487.SZ,2100.HK,300435.SZ,002782.SZ,000517.SZ,603988.SS,600053.SS,603886.SS,000544.SZ,1415.HK,000529.SZ,ZAGG,SAR.AX,2127.HK,GVMXX,n/a,1478.HK,300019.SZ,SUM
07/09/2021,5.8,5.61,4.3,4.22,4.01,3.79,3.27,3.19,2.97,2.85,2.7,2.3,2.2,2.04,1.99,1.74,1.68,1.36,1.26,1.25,1.12,1.11,1.03,1.0,0.98,0.97,0.97,0.92,0.89,0.87,0.79,0.79,0.76,0.73,0.72,0.68,0.67,0.66,0.57,0.54,0.51,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.92
07/12/2021,6.27,5.57,4.11,3.98,3.82,0.0,3.21,3.31,2.9,2.85,2.61,2.32,2.31,1.88,1.95,1.71,1.68,1.39,1.21,1.21,1.07,1.19,1.0,1.02,1.04,1.03,1.0,1.0,0.93,0.85,0.83,0.81,0.73,0.72,0.72,0.68,0.64,0.65,0.56,0.54,0.53,0.48,0.49,0.56,0.53,0.48,0.44,0.42,0.45,0.47,0.5,0.47,0.42,0.42,0.47,0.4,0.39,0.39,0.44,0.36,0.37,0.35,0.33,0.35,0.33,0.37,0.35,0.38,0.34,0.34,0.3,0.28,0.27,0.28,0.26,0.26,0.27,0.23,0.21,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.21,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.19,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.0,3.84,0.02,0.0,0.0,0.0,0.0,100.85
07/13/2021,6.27,5.57,4.11,3.98,3.82,0.0,3.21,3.31,2.9,2.85,2.61,2.32,2.31,1.88,1.95,1.71,1.68,1.39,1.21,1.21,1.07,1.19,1.0,1.02,1.04,1.03,1.0,1.0,0.93,0.85,0.83,0.81,0.73,0.72,0.72,0.68,0.64,0.65,0.56,0.54,0.53,0.48,0.49,0.56,0.53,0.48,0.44,0.42,0.45,0.47,0.5,0.47,0.42,0.42,0.47,0.4,0.39,0.39,0.44,0.36,0.37,0.35,0.33,0.35,0.33,0.37,0.35,0.38,0.34,0.34,0.3,0.28,0.27,0.28,0.26,0.26,0.27,0.23,0.21,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.21,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.19,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.0,3.84,0.02,0.0,0.0,0.0,0.0,100.85
08/31/2021,6.13,5.76,4.43,4.23,4.15,0.0,3.35,3.32,3.01,2.92,2.86,2.33,2.23,2.05,2.05,1.79,1.69,1.42,1.32,1.23,1.15,1.15,1.03,1.01,1.04,0.99,1.01,0.95,0.92,0.88,0.77,0.8,0.76,0.78,0.72,0.76,0.68,0.66,0.56,0.55,0.5,0.48,0.48,0.52,0.48,0.5,0.46,0.48,0.47,0.42,0.46,0.4,0.45,0.41,0.43,0.41,0.39,0.38,0.4,0.4,0.37,0.37,0.41,0.35,0.35,0.36,0.34,0.32,0.35,0.35,0.32,0.29,0.28,0.28,0.28,0.27,0.27,0.24,0.24,0.23,0.24,0.21,0.25,0.21,0.22,0.22,0.23,0.2,0.21,0.18,0.18,0.17,0.17,0.0,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.78,0.17,0.09,0.02,100.03
09/01/2021,6.13,5.76,4.43,4.23,4.15,0.0,3.35,3.32,3.01,2.92,2.86,2.33,2.23,2.05,2.05,1.79,1.69,1.42,1.32,1.23,1.15,1.15,1.03,1.01,1.04,0.99,1.01,0.95,0.92,0.88,0.77,0.8,0.76,0.78,0.72,0.76,0.68,0.66,0.56,0.55,0.5,0.48,0.48,0.52,0.48,0.5,0.46,0.48,0.47,0.42,0.46,0.4,0.45,0.41,0.43,0.41,0.39,0.38,0.4,0.4,0.37,0.37,0.41,0.35,0.35,0.36,0.34,0.32,0.35,0.35,0.32,0.29,0.28,0.28,0.28,0.27,0.27,0.24,0.24,0.23,0.24,0.21,0.25,0.21,0.22,0.22,0.23,0.2,0.21,0.18,0.18,0.17,0.17,0.0,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.78,0.17,0.09,0.02,100.03
09/02/2021,6.13,5.76,4.43,4.23,4.15,0.0,3.35,3.32,3.01,2.92,2.86,2.33,2.23,2.05,2.05,1.79,1.69,1.42,1.32,1.23,1.15,1.15,1.03,1.01,1.04,0.99,1.01,0.95,0.92,0.88,0.77,0.8,0.76,0.78,0.72,0.76,0.68,0.66,0.56,0.55,0.5,0.48,0.48,0.52,0.48,0.5,0.46,0.48,0.47,0.42,0.46,0.4,0.45,0.41,0.43,0.41,0.39,0.38,0.4,0.4,0.37,0.37,0.41,0.35,0.35,0.36,0.34,0.32,0.35,0.35,0.32,0.29,0.28,0.28,0.28,0.27,0.27,0.24,0.24,0.23,0.24,0.21,0.25,0.21,0.22,0.22,0.23,0.2,0.21,0.18,0.18,0.17,0.17,0.0,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.78,0.17,0.09,0.02,100.03
09/10/2021,6.65,4.52,3.77,4.15,4.76,0.0,2.35,2.79,2.55,2.55,3.15,2.44,2.2,1.59,1.5,1.41,2.05,1.3,1.12,1.09,1.24,1.24,0.9,0.73,1.24,1.0,0.65,1.22,1.36,0.72,1.22,1.28,0.71,0.91,0.88,0.63,0.9,0.77,0.69,0.49,0.71,0.42,0.47,0.54,0.75,0.47,0.42,0.43,0.27,0.65,0.43,0.45,0.35,0.4,0.41,0.42,0.57,0.38,0.43,0.34,0.32,0.39,0.29,0.37,0.29,0.45,0.33,0.29,0.3,0.31,0.37,0.27,0.23,0.27,0.2,0.28,0.27,0.22,0.21,0.23,0.21,0.25,0.24,0.22,0.27,0.25,0.29,0.15,0.18,0.25,0.26,0.22,0.14,0.14,0.19,0.24,0.14,0.16,0.16,0.15,0.14,0.13,0.1,0.12,0.1,0.18,0.1,0.14,0.16,0.08,0.1,0.13,0.1,0.17,0.1,0.17,0.21,0.16,0.1,0.11,0.14,0.13,0.13,0.08,0.1,0.08,0.07,0.09,0.16,0.12,0.1,0.07,0.1,0.09,0.07,0.1,0.1,0.07,0.06,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.09,0.08,0.06,0.08,0.07,0.1,0.05,0.09,0.07,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.06,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.0,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.02,0.0,4.69,0.0,0.03,102.24
09/13/2021,6.49,4.48,3.73,4.11,4.75,0.0,2.36,2.91,2.54,2.5,3.1,2.47,2.15,1.62,1.49,1.46,2.04,1.31,1.1,1.1,1.22,1.3,0.92,0.73,1.23,1.0,0.66,1.17,1.33,0.71,1.18,1.24,0.7,0.9,0.87,0.6,0.93,0.76,0.69,0.5,0.7,0.42,0.47,0.55,0.72,0.48,0.42,0.44,0.27,0.65,0.43,0.45,0.36,0.4,0.41,0.43,0.57,0.4,0.44,0.34,0.34,0.39,0.28,0.38,0.28,0.44,0.35,0.3,0.31,0.32,0.37,0.27,0.23,0.31,0.2,0.28,0.28,0.22,0.21,0.23,0.21,0.29,0.24,0.23,0.28,0.25,0.31,0.15,0.18,0.24,0.26,0.23,0.14,0.15,0.19,0.22,0.15,0.16,0.16,0.15,0.14,0.13,0.1,0.12,0.1,0.18,0.1,0.14,0.16,0.08,0.1,0.13,0.1,0.17,0.1,0.17,0.23,0.16,0.1,0.11,0.14,0.13,0.13,0.08,0.1,0.09,0.06,0.08,0.16,0.12,0.11,0.08,0.1,0.1,0.07,0.1,0.11,0.07,0.06,0.07,0.09,0.09,0.08,0.08,0.07,0.07,0.09,0.09,0.06,0.08,0.07,0.1,0.05,0.09,0.07,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.0,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,4.76,0.0,0.03,102.29000000000002
09/14/2021,6.44,4.62,3.67,3.91,4.68,0.0,2.37,2.9,2.51,2.58,3.1,2.43,2.27,1.62,1.46,1.42,2.18,1.35,1.07,1.12,1.28,1.26,0.95,0.74,1.25,1.04,0.65,1.19,1.38,0.7,1.19,1.25,0.68,0.9,0.86,0.58,0.94,0.76,0.69,0.49,0.72,0.41,0.47,0.55,0.7,0.47,0.41,0.43,0.25,0.65,0.43,0.45,0.34,0.41,0.4,0.42,0.64,0.4,0.43,0.34,0.32,0.38,0.27,0.38,0.3,0.44,0.34,0.29,0.3,0.3,0.38,0.27,0.23,0.33,0.2,0.28,0.27,0.22,0.22,0.23,0.22,0.26,0.24,0.25,0.28,0.26,0.31,0.15,0.17,0.24,0.27,0.23,0.14,0.14,0.19,0.21,0.15,0.17,0.16,0.15,0.14,0.13,0.09,0.12,0.1,0.19,0.1,0.13,0.16,0.08,0.1,0.13,0.1,0.17,0.1,0.16,0.24,0.15,0.1,0.11,0.14,0.14,0.15,0.08,0.1,0.08,0.07,0.08,0.14,0.12,0.11,0.08,0.1,0.1,0.06,0.1,0.11,0.07,0.06,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.09,0.08,0.06,0.07,0.07,0.11,0.05,0.09,0.07,0.05,0.05,0.04,0.06,0.05,0.04,0.04,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.06,0.0,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,4.77,0.0,0.03,102.31
09/15/2021,6.44,4.62,3.67,3.91,4.68,0.0,2.37,2.9,2.51,2.58,3.1,2.43,2.27,1.62,1.46,1.42,2.18,1.35,1.07,1.12,1.28,1.26,0.95,0.74,1.25,1.04,0.65,1.19,1.38,0.7,1.19,1.25,0.68,0.9,0.86,0.58,0.94,0.76,0.69,0.49,0.72,0.41,0.47,0.55,0.7,0.47,0.41,0.43,0.25,0.65,0.43,0.45,0.34,0.41,0.4,0.42,0.64,0.4,0.43,0.34,0.32,0.38,0.27,0.38,0.3,0.44,0.34,0.29,0.3,0.3,0.38,0.27,0.23,0.33,0.2,0.28,0.27,0.22,0.22,0.23,0.22,0.26,0.24,0.25,0.28,0.26,0.31,0.15,0.17,0.24,0.27,0.23,0.14,0.14,0.19,0.21,0.15,0.17,0.16,0.15,0.14,0.13,0.09,0.12,0.1,0.19,0.1,0.13,0.16,0.08,0.1,0.13,0.1,0.17,0.1,0.16,0.24,0.15,0.1,0.11,0.14,0.14,0.15,0.08,0.1,0.08,0.07,0.08,0.14,0.12,0.11,0.08,0.1,0.1,0.06,0.1,0.11,0.07,0.06,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.09,0.08,0.06,0.07,0.07,0.11,0.05,0.09,0.07,0.05,0.05,0.04,0.06,0.05,0.04,0.04,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.06,0.0,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,4.77,0.0,0.03,102.31
