,n/a,MIRM,MRO,XOM,HSY,BOX,WLK,WRB,DOW,PANW,STLD,ORLY,WOLF,PXD,OXY,AZO,LIN,AORT,CPRX,CRWD,QLYS,LNG,BOOT,WWE,TMO,KNBE,CCI,TSLA,MDB,PGR,PSTG,MRVI,PETQ,TSCO,DHR,LAD,HAL,VIVO,CF,PWR,KR,ALBO,COST,MDRX,EVH,SRPT,SFM,ZETA,AMPH,SWAV,ENPH,NPTN,BHVN,DCPH,SUM
04/21/2022,46.86,1.45,1.36,1.34,1.33,1.31,1.3,1.29,1.29,1.29,1.28,1.28,1.27,1.27,1.26,1.26,1.26,1.25,1.25,1.25,1.24,1.24,1.23,1.22,1.22,1.22,1.2,1.17,1.16,1.16,1.13,1.13,1.12,1.12,1.09,1.08,0.91,0.84,0.81,0.8,0.8,0.8,0.79,0.77,0.76,0.75,0.72,0.64,0.16,0.16,0.15,0.0,0.0,0.0,100.04
08/03/2022,97.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.38,0.04,100.0
08/12/2022,98.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.05,100.0
