,B 0 09/02/21,NPH.NZ,FXFXX,NPH.NZ.1,B 0 12/02/21,n/a,SUM
07/09/2021,81.29,18.64,0.28,-0.21,0.0,0.0,100.0
10/05/2021,0.0,0.0,17.36,0.0,67.55,15.08,99.99
10/06/2021,0.0,0.0,17.36,0.0,67.55,15.08,99.99
