,TREASURY STRIP (PRIN),TREASURY STRIP (PRIN).1,TREASURY STRIP (PRIN).2,TREASURY STRIP (PRIN).3,TREASURY STRIP (PRIN).4,TREASURY STRIP (PRIN).5,TREASURY STRIP (PRIN).6,TREASURY STRIP (PRIN).7,TREASURY STRIP (PRIN).8,TREASURY STRIP (PRIN).9,TREASURY STRIP (PRIN).10,TREASURY STRIP (PRIN).11,TREASURY STRIP (PRIN).12,TREASURY STRIP (PRIN).13,TREASURY BOND (OTR),BLK CSH FND TREASURY SL AGENCY,SP 0 11.15.50,SP 0 02.15.51,SP 0 11.15.47,SP 0 08.15.49,SP 0 02.15.49,SP 0 08.15.47,SP 0 08.15.50,SP 0 02.15.50,SP 0 05.15.49,SP 0 02.15.47,SP 0 11.15.46,T 2.25 02.15.52,n/a,SP 0 11.15.49,T 2.875 05.15.52,SP 0 11.15.48,SP 0 05.15.52,S 0 05.15.52,SUM
07/09/2021,13.58,13.19,13.11,12.49,11.13,9.33,7.02,4.77,4.24,3.94,3.79,1.22,1.06,1.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
06/21/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,16.01,12.93,12.74,11.91,8.88,3.98,3.66,1.04,0.5,0.42,0.29,0.09,0.04,0.02,0.01,0.0,0.0,100.02
